Key,Source,Context,Changes,English
attPerceptionRank14LongDesc,,, ,attPerception Rank 14 effects: Damage modifier: perc_add 160% tags=head; Dismember chance: base_add 0.65
attPerceptionRank15Desc,,, ,Rank 15: Damage modifier: 175% (head); Dismember chance: 0.7
attPerceptionRank15LongDesc,,, ,attPerception Rank 15 effects: Damage modifier: perc_add 175% tags=head; Dismember chance: base_add 0.7
attPerceptionRank16Desc,,, ,Rank 16: Damage modifier: 190% (head); Dismember chance: 0.75
attPerceptionRank16LongDesc,,, ,attPerception Rank 16 effects: Damage modifier: perc_add 190% tags=head; Dismember chance: base_add 0.75
attPerceptionRank17Desc,,, ,Rank 17: Damage modifier: 205% (head); Dismember chance: 0.8
attPerceptionRank17LongDesc,,, ,attPerception Rank 17 effects: Damage modifier: perc_add 205% tags=head; Dismember chance: base_add 0.8
attPerceptionRank18Desc,,, ,Rank 18: Damage modifier: 220% (head); Dismember chance: 0.85
attPerceptionRank18LongDesc,,, ,attPerception Rank 18 effects: Damage modifier: perc_add 220% tags=head; Dismember chance: base_add 0.85
attPerceptionRank19Desc,,, ,Rank 19: Damage modifier: 235% (head); Dismember chance: 0.9
attPerceptionRank19LongDesc,,, ,attPerception Rank 19 effects: Damage modifier: perc_add 235% tags=head; Dismember chance: base_add 0.9
attPerceptionRank20Desc,,, ,Rank 20: Damage modifier: 250% (head); Dismember chance: 0.95
attPerceptionRank20LongDesc,,, ,attPerception Rank 20 effects: Damage modifier: perc_add 250% tags=head; Dismember chance: base_add 0.95
attStrengthRank11Desc,,, ,Rank 11: Damage modifier: 115% (head); Dismember chance: 0.5
attStrengthRank11LongDesc,,, ,attStrength Rank 11 effects: Damage modifier: perc_add 115% tags=head; Dismember chance: base_add 0.5
attStrengthRank12Desc,,, ,Rank 12: Damage modifier: 130% (head); Dismember chance: 0.55
attStrengthRank12LongDesc,,, ,attStrength Rank 12 effects: Damage modifier: perc_add 130% tags=head; Dismember chance: base_add 0.55
attStrengthRank13Desc,,, ,Rank 13: Damage modifier: 145% (head); Dismember chance: 0.6
attStrengthRank13LongDesc,,, ,attStrength Rank 13 effects: Damage modifier: perc_add 145% tags=head; Dismember chance: base_add 0.6
attStrengthRank14Desc,,, ,Rank 14: Damage modifier: 160% (head); Dismember chance: 0.65
attStrengthRank14LongDesc,,, ,attStrength Rank 14 effects: Damage modifier: perc_add 160% tags=head; Dismember chance: base_add 0.65
attStrengthRank15Desc,,, ,Rank 15: Damage modifier: 175% (head); Dismember chance: 0.7
attStrengthRank15LongDesc,,, ,attStrength Rank 15 effects: Damage modifier: perc_add 175% tags=head; Dismember chance: base_add 0.7
attStrengthRank16Desc,,, ,Rank 16: Damage modifier: 190% (head); Dismember chance: 0.75
attStrengthRank16LongDesc,,, ,attStrength Rank 16 effects: Damage modifier: perc_add 190% tags=head; Dismember chance: base_add 0.75
attStrengthRank17Desc,,, ,Rank 17: Damage modifier: 205% (head); Dismember chance: 0.8
attStrengthRank17LongDesc,,, ,attStrength Rank 17 effects: Damage modifier: perc_add 205% tags=head; Dismember chance: base_add 0.8
attStrengthRank18Desc,,, ,Rank 18: Damage modifier: 220% (head); Dismember chance: 0.85
attStrengthRank18LongDesc,,, ,attStrength Rank 18 effects: Damage modifier: perc_add 220% tags=head; Dismember chance: base_add 0.85
attStrengthRank19Desc,,, ,Rank 19: Damage modifier: 235% (head); Dismember chance: 0.9
attStrengthRank19LongDesc,,, ,attStrength Rank 19 effects: Damage modifier: perc_add 235% tags=head; Dismember chance: base_add 0.9
attStrengthRank20Desc,,, ,Rank 20: Damage modifier: 250% (head); Dismember chance: 0.95
attStrengthRank20LongDesc,,, ,attStrength Rank 20 effects: Damage modifier: perc_add 250% tags=head; Dismember chance: base_add 0.95
perkAdvancedEngineeringRank1BWLongDesc,,, ,"Gain 20% XP from electrical trap kills. Items craft 50% faster at the forge. Craft glue cheaper. Craft anything 10% faster (doesn't apply to forge or glue,applies to all levels). 2% more chance of finding parts/Handy Land/Wiring 101/Electrical Traps/Forge Ahead magazines in loot."
perkAdvancedEngineeringRank2BWLongDesc,,, ,"Gain 40% XP from electrical trap kills. Items craft 50% faster at workbenches and cement mixers. Craft anything 20% faster (stacks with workbenches and cement mixers bonus,applies to all levels). 4% more chance of finding parts/Handy Land/Wiring 101/Electrical Traps/Forge Ahead magazines in loot."
perkAdvancedEngineeringRank3BWLongDesc,,, ,Gain 60% XP from electrical trap kills. All forge recipes cost 10% less. Crafting Forged Steel and electrical devices costs 15% less. Craft anything 30% faster. 6% more chance of finding parts/Handy Land/Wiring 101/Electrical Traps/Forge Ahead magazines in loot.
perkAdvancedEngineeringRank4BWLongDesc,,, ,Gain 80% XP from electrical trap kills. All forge recipes cost 15% less. Crafting Forged Steel and electrical devices costs 25% less. Craft anything 40% faster. 8% more chance of finding parts/Handy Land/Wiring 101/Electrical Traps/Forge Ahead magazines in loot.
perkAdvancedEngineeringRank5BWLongDesc,,, ,Gain 100% XP from electrical trap kills. All forge recipes cost 20% less. Crafting Forged Steel and electrical devices costs 35% less. Craft anything 50% faster. 10% more chance of finding parts/Handy Land/Wiring 101/Electrical Traps/Forge Ahead magazines in loot.
perkAdvancedEngineeringRank6Desc,,, ,Advanced Engineer
perkAdvancedEngineeringRank6BWLongDesc,,, ,"12% more chance of finding wiring magazines,repair magazines,traps magazines,workstations magazines in loot."
perkAdvancedEngineeringRank7Desc,,, ,Advanced Engineer
perkAdvancedEngineeringRank7BWLongDesc,,, ,"14% more chance of finding wiring magazines,repair magazines,traps magazines,workstations magazines in loot."
perkAdvancedEngineeringRank8Desc,,, ,Advanced Engineer
perkAdvancedEngineeringRank8BWLongDesc,,, ,"16% more chance of finding wiring magazines,repair magazines,traps magazines,workstations magazines in loot."
perkAdvancedEngineeringRank9Desc,,, ,Advanced Engineer
perkAdvancedEngineeringRank9BWLongDesc,,, ,"18% more chance of finding wiring magazines,repair magazines,traps magazines,workstations magazines in loot."
perkAdvancedEngineeringRank10Desc,,, ,Advanced Engineer
perkAdvancedEngineeringRank10BWLongDesc,,, ,"20% more chance of finding wiring magazines,repair magazines,traps magazines,workstations magazines in loot."
perkAgilityMasteryRank1BWLongDesc,,, ,"Bows and crossbows have a 60% chance to knock enemies down with a hit on the legs,pistols and smgs have a 40% chance and revolvers/desert vultures have a 80% chance of doing so. Dismembering limbs with bows,crossbows,knives,pistols or smgs causes enemies to bleed heavily,up to a maximum of 100 stacks. Bow arrows and crossbow bolts cause enemies to bleed,up to maximum of 25 stacks,the higher the bow tier,the higher is the bleed that is applied."
perkAgilityMasteryRank2BWLongDesc,,, ,Pistols and bows/crossbows reload 20% faster. Crossbows gain 100% magazine size bonus. Normal/Power attacks with knives have a 25/50% chance to cripple enemies on hit respectively.
perkAgilityMasteryRank3BWLongDesc,,, ,"Pistols and smgs now cause enemies to bleed,higher calibres pistols will apply more bleeding stacks up to a maximum of 25 stacks. Explosive arrows and bolts will now cause enemies to bleed heavily,up to a maximum of 200 stacks."
perkAgilityMasteryRank4BWLongDesc,,, ,"Gain 100% chance of evading 100% of incoming damage when hit by a zombie or an animal,has a 60 seconds cooldown. When on cooldown,passively gain a 25% chance of evading 100% of incoming damage when hit by zombies or animals while walking,the chance is increased to 50% while sprinting."
perkAgilityMasteryRank5BWLongDesc,,, ,"Bows will ignore 100% of armor and deal 100/200/300% bonus damage depending on the type of arrow used when the string is fully pulled(<--NOTE: this damage increase and armor decrease are currently not working,not even in vanilla unmodded). Bows/crossbows will now also deal 100/200/300% bonus sneak damage,based on the type of the weapon. Crossbows gain another 300% magazine size bonus. The last 3 shots in the chamber of pistols and smgs deal 100/200/300% more damage respectively,the damage is doubled with revolvers or desert vultures."
perkAgilityMasteryRank6Desc,,, ,Piercing Precision
perkAgilityMasteryRank6BWLongDesc,,, ,No additional bonuses beyond Rank 5.
perkAgilityMasteryRank7Desc,,, ,Piercing Precision
perkAgilityMasteryRank7BWLongDesc,,, ,No additional bonuses beyond Rank 5.
perkAgilityMasteryRank8Desc,,, ,Piercing Precision
perkAgilityMasteryRank8BWLongDesc,,, ,No additional bonuses beyond Rank 5.
perkAgilityMasteryRank9Desc,,, ,Piercing Precision
perkAgilityMasteryRank9BWLongDesc,,, ,No additional bonuses beyond Rank 5.
perkAgilityMasteryRank10Desc,,, ,Piercing Precision
perkAgilityMasteryRank10BWLongDesc,,, ,No additional bonuses beyond Rank 5.
perkAnimalTrackerRank6Desc,,, ,Predator's Instinct
perkAnimalTrackerRank6BWLongDesc,,, ,100% more chance of finding huntingProb in loot.
perkAnimalTrackerRank7Desc,,, ,Predator's Instinct
perkAnimalTrackerRank7BWLongDesc,,, ,100% more chance of finding huntingProb in loot.
perkAnimalTrackerRank8Desc,,, ,Predator's Instinct
perkAnimalTrackerRank8BWLongDesc,,, ,100% more chance of finding huntingProb in loot.
perkAnimalTrackerRank9Desc,,, ,Predator's Instinct
perkAnimalTrackerRank9BWLongDesc,,, ,100% more chance of finding huntingProb in loot.
perkAnimalTrackerRank10Desc,,, ,Predator's Instinct
perkAnimalTrackerRank10BWLongDesc,,, ,100% more chance of finding huntingProb in loot.
perkArcheryRank1BWLongDesc,,, ,Archery weapons deal 20% more entity damage as well as degrading 10% less. Aim 20% faster. 20% Draw and reload speed with bows and crossbows. 10 bonus projectile velocity and flat headshot damage for archery weapons. 20% spread while ADS for bows. 10% spread while ADS for crossbows. 5/10/15% projectile stick chance for tier 1/2/3 archery weapons. 2% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot.
perkArcheryRank2BWLongDesc,,, ,Archery weapons deal 40% more entity damage as well as degrading 15% less. Aim 40% faster. 40% Draw and reload speed with bows and crossbows. 20 bonus projectile velocity and flat headshot damage for archery weapons. 17% spread while ADS for bows. 8% spread while ADS for crossbows. 10/20/30% projectile stick chance for tier 1/2/3 archery weapons. 4% more chance of finding Bow Hunters magazines./Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot.
perkArcheryRank3BWLongDesc,,, ,Archery weapons deal 60% more entity damage as well as degrading 20% less. Aim 60% faster. 60% Draw and reload speed with bows and crossbows. 30 bonus projectile velocity and flat headshot damage for archery weapons. 12% spread while ADS for bows. 6% spread while ADS for crossbows. 15/30/45/ projectile stick chance for tier 1/2/3 archery weapons. 6% more chance of finding Bow Hunters magazines./Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot.
perkArcheryRank4BWLongDesc,,, ,Archery weapons deal 80% more entity damage as well as degrading 25% less. Aim 80% faster. 80% Draw and reload speed with bows and crossbows. 40 bonus projectile velocity and flat headshot damage for archery weapons. 7% spread while ADS for bows. 4% spread while ADS for crossbows. 20/40/60% projectile stick chance for tier 1/2/3 archery weapons. 8% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot.
perkArcheryRank5BWLongDesc,,, ,Archery weapons deal 100% more entity damage as well as degrading 30% less. Aim 100% faster. 100% Draw and reload speed with bows and crossbows. 50 bonus projectile velocity and flat headshot damage for archery weapons. 2% spread while ADS for bows. 2% spread while ADS for crossbows. 25/50/75% projectile stick chance for tier 1/2/3 archery weapons. 10% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrowsin loot. Unlock the recipe to craft the electric arrow/bolt.
perkArcheryRank6Desc,,, ,Ranger
perkArcheryRank6BWLongDesc,,, ,Archery weapons deal 120% more entity damage as well as degrading 35% less. Aim 120% faster. 120% Draw and reload speed with bows and crossbows. 60% more block damage for archery weapons. 50 bonus projectile velocity and flat headshot damage for archery weapons. 2% spread while ADS for bows. 2% spread while ADS for crossbows. 25/50/75% projectile stick chance for tier 1/2/3 archery weapons. 12% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot. Unlock the recipe to craft the electric arrow/bolt.
perkArcheryRank7Desc,,, ,Ranger
perkArcheryRank7BWLongDesc,,, ,Archery weapons deal 140% more entity damage as well as degrading 40% less. Aim 140% faster. 140% Draw and reload speed with bows and crossbows. 70% more block damage for archery weapons. 50 bonus projectile velocity and flat headshot damage for archery weapons. 2% spread while ADS for bows. 2% spread while ADS for crossbows. 25/50/75% projectile stick chance for tier 1/2/3 archery weapons. 14% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot. Unlock the recipe to craft the electric arrow/bolt.
perkArcheryRank8Desc,,, ,Ranger
perkArcheryRank8BWLongDesc,,, ,Archery weapons deal 160% more entity damage as well as degrading 45% less. Aim 160% faster. 160% Draw and reload speed with bows and crossbows. 80% more block damage for archery weapons. 50 bonus projectile velocity and flat headshot damage for archery weapons. 2% spread while ADS for bows. 2% spread while ADS for crossbows. 25/50/75% projectile stick chance for tier 1/2/3 archery weapons. 16% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot. Unlock the recipe to craft the electric arrow/bolt.
perkArcheryRank9Desc,,, ,Ranger
perkArcheryRank9BWLongDesc,,, ,Archery weapons deal 180% more entity damage as well as degrading 50% less. Aim 180% faster. 180% Draw and reload speed with bows and crossbows. 90% more block damage for archery weapons. 50 bonus projectile velocity and flat headshot damage for archery weapons. 2% spread while ADS for bows. 2% spread while ADS for crossbows. 25/50/75% projectile stick chance for tier 1/2/3 archery weapons. 18% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot. Unlock the recipe to craft the electric arrow/bolt.
perkArcheryRank10Desc,,, ,Ranger
perkArcheryRank10BWLongDesc,,, ,Archery weapons deal 200% more entity damage as well as degrading 55% less. Aim 200% faster. 200% Draw and reload speed with bows and crossbows. 100% more block damage for archery weapons. 50 bonus projectile velocity and flat headshot damage for archery weapons. 2% spread while ADS for bows. 2% spread while ADS for crossbows. 25/50/75% projectile stick chance for tier 1/2/3 archery weapons. 20% more chance of finding Bow Hunters magazines/Ranger's Guide to Archery/bows/crossbows/parts/arrows in loot. Unlock the recipe to craft the electric arrow/bolt.
perkBetterBarterRank1BWLongDesc,,, ,Gain 5% better bartering with traders. 1% effect bonus to all bartering items (Sugarbutts/cigar/etc.)
perkBetterBarterRank2BWLongDesc,,, ,Gain 10% better bartering with traders. 2% effect bonus to all bartering items (Sugarbutts/cigar/etc.)
perkBetterBarterRank3BWLongDesc,,, ,Gain 15% better bartering with traders. 3% effect bonus to all bartering items (Sugarbutts/cigar/etc.)
perkBetterBarterRank4BWLongDesc,,, ,Gain 20% better bartering with traders. 4% effect bonus to all bartering items (Sugarbutts/cigar/etc.)
perkBetterBarterRank5BWLongDesc,,, ,Gain 25% better bartering with traders. 5% effect bonus to all bartering items (Sugarbutts/cigar/etc.)
perkBetterBarterRank6Desc,,, ,Corporate Marketing CEO
perkBetterBarterRank6BWLongDesc,,, ,"Rank 6 bonuses: Buy price modifier +30%,Sell price modifier +30%."
perkBetterBarterRank7Desc,,, ,Corporate Marketing CEO
perkBetterBarterRank7BWLongDesc,,, ,"Rank 7 bonuses: Buy price modifier +35%,Sell price modifier +35%."
perkBetterBarterRank8Desc,,, ,Corporate Marketing CEO
perkBetterBarterRank8BWLongDesc,,, ,"Rank 8 bonuses: Buy price modifier +40%,Sell price modifier +40%."
perkBetterBarterRank9Desc,,, ,Corporate Marketing CEO
perkBetterBarterRank9BWLongDesc,,, ,"Rank 9 bonuses: Buy price modifier +45%,Sell price modifier +45%."
perkBetterBarterRank10Desc,,, ,Corporate Marketing CEO
perkBetterBarterRank10BWLongDesc,,, ,"Rank 10 bonuses: Buy price modifier +50%,Sell price modifier +50%."
perkBoomstickRank1BWLongDesc,,, ,Shotguns deal 10% more damage. Have 10% faster fire rate and 10% faster reload. Stun enemies for 6 seconds. Increases chance to dismember by 5%. 2% more chance of finding Shotguns/parts/shells/Shotgun Weekly magazines/Shotgun Messiah perk books in loot. Shotguns degrade 10% slower. Breaching slugs deal 100% more damage to wood and safes. Deal 20% bonus damage to close targets up to 4 meters.
perkBoomstickRank2BWLongDesc,,, ,Shotguns deal 20% more damage. Have 20% faster fire rate and 15% faster reload. Increases chance to dismember by 10%. 4% more chance of finding Shotguns/parts/shells/Shotgun Weekly magazines/Shotgun Messiah perk books in loot. Shotguns degrade 15% slower. Breaching slugs deal 200% more damage to wood and safes. Deal 40% bonus damage to close targets up to 4 meters.
perkBoomstickRank3BWLongDesc,,, ,Shotguns deal 30% more damage. Have 30% faster fire rate and 20% faster reload. Stun enemies for 8 seconds. 6% more chance of finding Shotguns/parts/shells/Shotgun Weekly magazines/Shotgun Messiah perk books in loot. Shotguns degrade 20% slower. Breaching slugs deal 300% more damage to wood and safes. Deal 60% bonus damage to close targets up to 4 meters.
perkBoomstickRank4BWLongDesc,,, ,Shotguns deal 40% more damage. Have 40% faster fire rate and 25% faster reload. 8% more chance of finding Shotguns/parts/shells/Shotgun Weekly magazines/Shotgun Messiah perk books in loot. Shotguns degrade 25% slower. Breaching slugs deal 400% more damage to wood and safes. Deal 80% bonus damage to close targets up to 4 meters.
perkBoomstickRank5BWLongDesc,,, ,Shotguns deal 50% more damage. Have 50% faster fire rate and a 30% faster reload. Legs shots cripple opponents. 10% more chance of finding Shotguns/parts/shells/Shotgun Weekly magazines/Shotgun Messiah perk books in loot. Shotguns degrade 30% slower. Breaching slugs deal 500% more damage to wood and safes. Deal 100% bonus damage to close targets up to 4 meters.
perkBoomstickRank6Desc,,, ,Boomstick
perkBoomstickRank6BWLongDesc,,, ,"Shotguns deal 60% more entity damage. Shotguns deal 120% more block damage. Reload 35% faster. Fire 60% faster. 12% more chance of finding shotgun ammo,shotguns and parts in loot."
perkBoomstickRank7Desc,,, ,Boomstick
perkBoomstickRank7BWLongDesc,,, ,"Shotguns deal 70% more entity damage. Shotguns deal 140% more block damage. Reload 40% faster. Fire 70% faster. 14% more chance of finding shotgun ammo,shotguns and parts in loot."
perkBoomstickRank8Desc,,, ,Boomstick
perkBoomstickRank8BWLongDesc,,, ,"Shotguns deal 80% more entity damage. Shotguns deal 160% more block damage. Reload 45% faster. Fire 80% faster. 16% more chance of finding shotgun ammo,shotguns and parts in loot."
perkBoomstickRank9Desc,,, ,Boomstick
perkBoomstickRank9BWLongDesc,,, ,"Shotguns deal 90% more entity damage. Shotguns deal 180% more block damage. Reload 50% faster. Fire 90% faster. 18% more chance of finding shotgun ammo,shotguns and parts in loot."
perkBoomstickRank10Desc,,, ,Boomstick
perkBoomstickRank10BWLongDesc,,, ,"Shotguns deal 100% more entity damage. Shotguns deal 200% more block damage. Reload 55% faster. Fire 100% faster. 20% more chance of finding shotgun ammo,shotguns and parts in loot."
perkBrawlerRank1BWLongDesc,,, ,Knuckle weapons deal 10% more damage as well as degrading 10% less. Punches to the head negate infection ability. Stamina costs are reduced by 20% for both attacks. Killing blows grant 10 stamina. 2% more chance of finding knuckle weapons/parts/Furious Fists magazines/Bar Brawler perk books in loot.
perkBrawlerRank2BWLongDesc,,, ,"Knuckle weapons deal 20% more damage,degrade 15% less and have a 30% chance to stagger opponents with power attacks. Stamina costs are reduced by 30% for both attacks. Killing blows grant 15 stamina. 4% more chance of finding knuckle weapons/parts/Furious Fists magazines/Bar Brawler perk books in loot."
perkBrawlerRank3BWLongDesc,,, ,Knuckle weapons deal 30% more damage as well as degrading 10% less. Power attacks to the head have a 20% chance to knock down your opponent. Stamina costs are reduced by 40% for both attacks. Killing blows grant 20 stamina. 6% more chance of finding knuckle weapons/parts/Furious Fists magazines/Bar Brawler perk books in loot.
perkBrawlerRank4BWLongDesc,,, ,Knuckle weapons deal 40% more damage as well as degrading 10% less. Power attacks to the head have a 30% chance to knock down your opponent. Stamina costs are reduced by 50% for both attacks. Killing blows grant 25 stamina. 8% more chance of finding knuckle weapons/parts/Furious Fists magazines/Bar Brawler perk books in loot.
perkBrawlerRank5BWLongDesc,,, ,"Knuckle weapons deal 50% more damage,degrade 30% less and have a 20% higher chance to explode heads with punches. Stamina costs are reduced by 60% for both attacks. Killing blows grant 35 stamina. 10% more chance of finding knuckle weapons/parts/Furious Fists magazines/Bar Brawler perk books in loot."
perkBrawlerRank6Desc,,, ,Mixed Martial Artist
