Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish
vehicleSVGAsylumHotrodChassis,items,item,EnChanged,"[FF6600]Asylum Hotrod Chassis[-]",,,,,
vehicleSVGAsylumHotrodChassisDesc,items,item,EnChanged,"[CCCCCC]A [FF6600]stripped[-] and [FF4444]reinforced[-] frame built for [AA0000]speed and destruction[-], bearing the [FF8800]burn marks[-] of countless [AA0000]hellish races[-].[-]",,,,,

vehicleSVGAsylumHotrodAccessories,items,item,EnChanged,"[FF6600]Asylum Hotrod Accessories[-]",,,,,
vehicleSVGAsylumHotrodAccessoriesDesc,items,item,EnChanged,"[CCCCCC]High-performance components including [FF8800]nitrous systems[-], [FF6600]racing headers[-], and [AA0000]safety equipment[-] stained with the [FF4444]blood[-] of previous drivers.[-]",,,,,





