Key,File,Type,UsedInMainMenu,NoTranslate,English,Spanish,French,German,Italian,Japanese,Koreana,Polish,Brazilian,Russian,Turkish,Schinese,Tchinese,SpanishMexico

# Asylum Quest Class System - Localization
# Advanced class-based quest system for The Asylum
# Includes Asylum integration localization

quest_start_class_quests,,,,,"Asylum Quest Class System",,,,
quest_AsylumB16,,,,,"The Gravedigger 16/30",,,,
quest_AsylumB16_desc,,,,,"Acquire a cement mixer from the asylum's construction yard. This machine will transform raw materials into the liquid stone that seals away darkness.",,,,
quest_AsylumB16_subtitle,,,,,"Concrete Fortification 1/6",,,,
quest_AsylumB17,,,,,"The Gravedigger 17/30",,,,
quest_AsylumB17_desc,,,,,"Gather massive quantities of stone from the asylum grounds. The concrete walls you'll build must withstand both the corrupted and time itself.",,,,
quest_AsylumB17_subtitle,,,,,"Concrete Fortification 2/6",,,,
quest_AsylumB18,,,,,"The Gravedigger 18/30",,,,
quest_AsylumB18_desc,,,,,"Crush stone into sand using the asylum's machinery. Each grain carries the weight of forgotten experiments.",,,,
quest_AsylumB18_subtitle,,,,,"Concrete Fortification 3/6",,,,
quest_AsylumB19,,,,,"The Gravedigger 19/30",,,,
quest_AsylumB19_desc,,,,,"Mix cement in the asylum's workshop. This binding agent holds together more than just stone - it seals the cracks where madness seeps through.",,,,
quest_AsylumB19_subtitle,,,,,"Concrete Fortification 4/6",,,,
quest_AsylumB20,,,,,"The Gravedigger 20/30",,,,
quest_AsylumB20_desc,,,,,"Produce concrete mix in massive quantities. The asylum's reconstruction demands industrial-scale fortification.",,,,
quest_AsylumB20_subtitle,,,,,"Concrete Fortification 5/6",,,,
quest_AsylumB21,,,,,"The Gravedigger 21/30",,,,
quest_AsylumB21_desc,,,,,"Upgrade cobblestone structures to concrete. Transform the asylum's crumbling pathways into impenetrable barriers.",,,,
quest_AsylumB21_subtitle,,,,,"Concrete Fortification 6/6",,,,
quest_AsylumB22,,,,,"The Gravedigger 22/30",,,,
quest_AsylumB22_desc,,,,,"Forge steel in the asylum's advanced furnaces. This superior metal represents the pinnacle of pre-outbreak metallurgy.",,,,
quest_AsylumB22_subtitle,,,,,"Steel Reinforcement 1/5",,,,
quest_AsylumB23,,,,,"The Gravedigger 23/30",,,,
quest_AsylumB23_desc,,,,,"Craft a steel axe in the asylum's workshop. Its edge cuts through wood and bone with equal efficiency.",,,,
quest_AsylumB23_subtitle,,,,,"Steel Reinforcement 2/5",,,,
quest_AsylumB24,,,,,"The Gravedigger 24/30",,,,
quest_AsylumB24_desc,,,,,"Forge a steel pickaxe to extract the asylum's deepest resources. The earth yields its secrets reluctantly.",,,,
quest_AsylumB24_subtitle,,,,,"Steel Reinforcement 3/5",,,,
quest_AsylumB25,,,,,"The Gravedigger 25/30",,,,
quest_AsylumB25_desc,,,,,"Create a steel shovel for excavating the asylum's cursed grounds. Each shovelful uncovers layers of buried history.",,,,
quest_AsylumB25_subtitle,,,,,"Steel Reinforcement 4/5",,,,
quest_AsylumB26,,,,,"The Gravedigger 26/30",,,,
quest_AsylumB26_desc,,,,,"Upgrade concrete structures to steel-reinforced fortifications. The asylum's final defense against the corrupted hordes.",,,,
quest_AsylumB26_subtitle,,,,,"Steel Reinforcement 5/5",,,,
quest_AsylumB27,,,,,"The Gravedigger 27/30",,,,
quest_AsylumB27_desc,,,,,"Titanium represents the pinnacle of construction materials. Gather this rare resource to unlock ultimate building potential.",,,,
quest_AsylumB27_subtitle,,,,,"Titanium Age 1/4",,,,
quest_AsylumB28,,,,,"The Gravedigger 28/30",,,,
quest_AsylumB28_desc,,,,,"Mass steel production is the foundation of advanced construction. Stockpile this essential material.",,,,
quest_AsylumB28_subtitle,,,,,"Titanium Age 2/4",,,,
quest_AsylumB29,,,,,"The Gravedigger 29/30",,,,
quest_AsylumB29_desc,,,,,"Steel structures represent the strongest fortifications. Upgrade your base to withstand any threat.",,,,
quest_AsylumB29_subtitle,,,,,"Titanium Age 3/4",,,,
quest_AsylumB30,,,,,"The Gravedigger 30/30",,,,
quest_AsylumB30_desc,,,,,"The ultimate harvesting tools forged from titanium. Complete your mastery of construction with these legendary implements.",,,,
quest_AsylumB30_subtitle,,,,,"Titanium Age 4/4 - Master Builder",,,,
quest_AsylumF,,,,,"The Harvester",,,,
quest_AsylumF1,,,,,"The Harvester 1/50",,,,
quest_AsylumF1_desc,,,,,"The asylum's therapy gardens lie overgrown and abandoned. Clear the wild vegetation to reclaim this cursed soil for cultivation.",,,,
quest_AsylumF1_subtitle,,,,,"Garden Therapy Begins",,,,
quest_AsylumF2,,,,,"The Harvester 2/50",,,,
quest_AsylumF2_desc,,,,,"Gather materials from the asylum grounds to establish your experimental garden. Rotting flesh, wood, clay, and nitrate - the building blocks of corrupted agriculture.",,,,
quest_AsylumF2_subtitle,,,,,"Asylum Garden Resources",,,,
quest_AsylumF3,,,,,"The Harvester 3/50",,,,
quest_AsylumF3_desc,,,,,"Gather wild crops from the asylum's overgrown grounds. Mushrooms sprout in the damp shadows and yucca plants thrive in the neglected gardens.",,,,
quest_AsylumF3_subtitle,,,,,"Wild Harvest",,,,
quest_AsylumF4,,,,,"The Harvester 4/50",,,,
quest_AsylumF4_desc,,,,,"Harvest cotton from the asylum's overgrown fields. The patients once worked these very plants during their therapy sessions.",,,,
quest_AsylumF4_subtitle,,,,,"Therapy Cotton 1/3",,,,
quest_AsylumF5,,,,,"The Harvester 5/50",,,,
quest_AsylumF5_desc,,,,,"Plant cotton seeds in the asylum's therapy garden. Watch as life grows from soil soaked in decades of suffering.",,,,
quest_AsylumF5_subtitle,,,,,"Therapy Cotton 2/3",,,,
quest_AsylumF6,,,,,"The Harvester 6/50",,,,
quest_AsylumF6_desc,,,,,"Place cotton plants throughout the asylum gardens. Each plant represents a patient's attempt at rehabilitation through agricultural therapy.",,,,
quest_AsylumF6_subtitle,,,,,"Therapy Cotton 3/3",,,,
quest_AsylumF7,,,,,"The Harvester 7/50",,,,
quest_AsylumF7_desc,,,,,"Gather chrysanthemum flowers from the asylum's memorial gardens. These crimson blooms were planted to honor patients who never left.",,,,
quest_AsylumF7_subtitle,,,,,"Asylum Chrysanthemum 1/3",,,,
quest_AsylumF8,,,,,"The Harvester 8/50",,,,
quest_AsylumF8_desc,,,,,"Plant chrysanthemum seeds in the asylum's therapy beds. The flowers bloom red as blood in this corrupted soil.",,,,
quest_AsylumF8_subtitle,,,,,"Asylum Chrysanthemum 2/3",,,,
quest_AsylumF9,,,,,"The Harvester 9/50",,,,
quest_AsylumF9_desc,,,,,"Place chrysanthemum plants throughout the asylum gardens. Their petals whisper secrets of those who tended them before.",,,,
quest_AsylumF9_subtitle,,,,,"Asylum Chrysanthemum 3/3",,,,
quest_AsylumF10,,,,,"The Harvester 10/50",,,,
quest_AsylumF10_desc,,,,,"Gather more organic materials for the asylum's experimental compost. Flesh and compost combine to create unnaturally fertile soil.",,,,
quest_AsylumF10_subtitle,,,,,"Experimental Compost",,,,
quest_AsylumF11,,,,,"The Harvester 11/50",,,,
quest_AsylumF11_desc,,,,,"Harvest goldenrod from the asylum's wild gardens. These golden flowers once decorated the staff quarters before the outbreak.",,,,
quest_AsylumF11_subtitle,,,,,"Asylum Goldenrod 1/3",,,,
quest_AsylumF12,,,,,"The Harvester 12/50",,,,
quest_AsylumF12_desc,,,,,"Plant goldenrod seeds in the asylum's therapy beds. Their golden hue stands in stark contrast to the darkness surrounding them.",,,,
quest_AsylumF12_subtitle,,,,,"Asylum Goldenrod 2/3",,,,
quest_AsylumF13,,,,,"The Harvester 13/50",,,,
quest_AsylumF13_desc,,,,,"Place goldenrod plants throughout the asylum gardens. Each bloom carries memories of brighter days long past.",,,,
quest_AsylumF13_subtitle,,,,,"Asylum Goldenrod 3/3",,,,
quest_AsylumF14,,,,,"The Harvester 14/50",,,,
quest_AsylumF14_desc,,,,,"Gather blueberries from the asylum's overgrown orchards. These dark berries thrive in the shadow of abandoned buildings.",,,,
quest_AsylumF14_subtitle,,,,,"Asylum Blueberries 1/3",,,,
quest_AsylumF15,,,,,"The Harvester 15/50",,,,
quest_AsylumF15_desc,,,,,"Plant blueberry seeds in the asylum's therapy garden. The bushes grow twisted but bear surprisingly sweet fruit.",,,,
quest_AsylumF15_subtitle,,,,,"Asylum Blueberries 2/3",,,,
quest_AsylumF16,,,,,"The Harvester 16/50",,,,
quest_AsylumF16_desc,,,,,"Place blueberry plants throughout the asylum grounds. Their dark berries remind you of things better left forgotten.",,,,
quest_AsylumF16_subtitle,,,,,"Asylum Blueberries 3/3",,,,
quest_AsylumF17,,,,,"The Harvester 17/50",,,,
quest_AsylumF17_desc,,,,,"Produce compost in massive quantities for the asylum's expanding gardens. Decay and corruption transform into fertile growth.",,,,
quest_AsylumF17_subtitle,,,,,"Mass Compost Production",,,,
quest_AsylumF18,,,,,"The Harvester 18/50",,,,
quest_AsylumF18_desc,,,,,"Harvest yucca fruit from the asylum's desert gardens. These hardy plants survived the outbreak when everything else withered.",,,,
quest_AsylumF18_subtitle,,,,,"Asylum Yucca 1/3",,,,
quest_AsylumF19,,,,,"The Harvester 19/50",,,,
quest_AsylumF19_desc,,,,,"Plant yucca seeds in the asylum's arid therapy beds. They thrive in harsh conditions, much like the survivors.",,,,
quest_AsylumF19_subtitle,,,,,"Asylum Yucca 2/3",,,,
quest_AsylumF20,,,,,"The Harvester 20/50",,,,
quest_AsylumF20_desc,,,,,"Place yucca plants throughout the asylum's desert gardens. Their resilience mirrors your own determination to survive.",,,,
quest_AsylumF20_subtitle,,,,,"Asylum Yucca 3/3",,,,
quest_AsylumF21,,,,,"The Harvester 21/50",,,,
quest_AsylumF21_desc,,,,,"Gather aloe leaves from the asylum's medicinal gardens. The medical staff once used these for treating patient injuries.",,,,
quest_AsylumF21_subtitle,,,,,"Asylum Aloe 1/3",,,,
quest_AsylumF22,,,,,"The Harvester 22/50",,,,
quest_AsylumF22_desc,,,,,"Plant aloe seeds in the asylum's therapy garden. These healing plants grow despite the corruption seeping through the soil.",,,,
quest_AsylumF22_subtitle,,,,,"Asylum Aloe 2/3",,,,
quest_AsylumF23,,,,,"The Harvester 23/50",,,,
quest_AsylumF23_desc,,,,,"Place aloe plants throughout the asylum grounds. Their soothing gel offers relief in a world of pain.",,,,
quest_AsylumF23_subtitle,,,,,"Asylum Aloe 3/3",,,,
quest_AsylumF24,,,,,"The Harvester 24/50",,,,
quest_AsylumF24_desc,,,,,"Gather wood from the asylum's overgrown forests. Harvest these resources to rebuild what the outbreak destroyed.",,,,
quest_AsylumF24_subtitle,,,,,"Asylum Reforestation",,,,
quest_AsylumF25,,,,,"The Harvester 25/50",,,,
quest_AsylumF25_desc,,,,,"Harvest coffee beans from the asylum's greenhouse. The staff relied on these to endure endless night shifts.",,,,
quest_AsylumF25_subtitle,,,,,"Asylum Coffee 1/3",,,,
quest_AsylumF26,,,,,"The Harvester 26/50",,,,
quest_AsylumF26_desc,,,,,"Plant coffee seeds in the asylum's therapy garden. The aroma of brewing coffee once filled these halls.",,,,
quest_AsylumF26_subtitle,,,,,"Asylum Coffee 2/3",,,,
quest_AsylumF27,,,,,"The Harvester 27/50",,,,
quest_AsylumF27_desc,,,,,"Place coffee plants throughout the asylum greenhouse. Their bitter beans provide the energy to survive another day.",,,,
quest_AsylumF27_subtitle,,,,,"Asylum Coffee 3/3",,,,
quest_AsylumF28,,,,,"The Harvester 28/50",,,,
quest_AsylumF28_desc,,,,,"Gather pumpkins from the asylum's autumn gardens. These orange gourds once decorated the facility during happier times.",,,,
quest_AsylumF28_subtitle,,,,,"Asylum Pumpkins 1/3",,,,
quest_AsylumF29,,,,,"The Harvester 29/50",,,,
quest_AsylumF29_desc,,,,,"Plant pumpkin seeds in the asylum's therapy beds. They grow large and twisted in this corrupted soil.",,,,
quest_AsylumF29_subtitle,,,,,"Asylum Pumpkins 2/3",,,,
quest_AsylumF30,,,,,"The Harvester 30/50",,,,
quest_AsylumF30_desc,,,,,"Place pumpkin plants throughout the asylum gardens. Their vines spread like the madness that consumed this place.",,,,
quest_AsylumF30_subtitle,,,,,"Asylum Pumpkins 3/3",,,,
quest_AsylumF31,,,,,"The Harvester 31/50",,,,
quest_AsylumF31_desc,,,,,"Carve jack-o'-lanterns from asylum pumpkins and place them throughout the gardens. Their flickering grins mock the darkness.",,,,
quest_AsylumF31_subtitle,,,,,"Asylum Halloween Decor",,,,
quest_AsylumF32,,,,,"The Harvester 32/50",,,,
quest_AsylumF32_desc,,,,,"The Asylum's greenhouse produces plump, juicy tomatoes with a deep red color that reminds you of things better left forgotten.",,,,
quest_AsylumF32_subtitle,,,,,"Asylum Tomatoes 1/3",,,,
quest_AsylumF33,,,,,"The Harvester 33/50",,,,
quest_AsylumF33_desc,,,,,"The Asylum's greenhouse produces plump, juicy tomatoes with a deep red color that reminds you of things better left forgotten.",,,,
quest_AsylumF33_subtitle,,,,,"Asylum Tomatoes 2/3",,,,
quest_AsylumF34,,,,,"The Harvester 34/50",,,,
quest_AsylumF34_desc,,,,,"The Asylum's greenhouse produces plump, juicy tomatoes with a deep red color that reminds you of things better left forgotten.",,,,
quest_AsylumF34_subtitle,,,,,"Asylum Tomatoes 3/3",,,,
quest_AsylumF35,,,,,"The Harvester 35/50",,,,
quest_AsylumF35_desc,,,,,"Rice cultivated in the Asylum's fields. The grains whisper secrets of ancient harvests and forgotten rituals.",,,,
quest_AsylumF35_subtitle,,,,,"Asylum Rice 1/3",,,,
quest_AsylumF36,,,,,"The Harvester 36/50",,,,
quest_AsylumF36_desc,,,,,"Rice cultivated in the Asylum's fields. The grains whisper secrets of ancient harvests and forgotten rituals.",,,,
quest_AsylumF36_subtitle,,,,,"Asylum Rice 2/3",,,,
quest_AsylumF37,,,,,"The Harvester 37/50",,,,
quest_AsylumF37_desc,,,,,"Rice cultivated in the Asylum's fields. The grains whisper secrets of ancient harvests and forgotten rituals.",,,,
quest_AsylumF37_subtitle,,,,,"Asylum Rice 3/3",,,,
quest_AsylumF38,,,,,"The Harvester 38/50",,,,
quest_AsylumF38_desc,,,,,"Soybeans from the Asylum's experimental gardens. Rich in protein and dark secrets.",,,,
quest_AsylumF38_subtitle,,,,,"Asylum Soybeans 1/3",,,,
quest_AsylumF39,,,,,"The Harvester 39/50",,,,
quest_AsylumF39_desc,,,,,"Soybeans from the Asylum's experimental gardens. Rich in protein and dark secrets.",,,,
quest_AsylumF39_subtitle,,,,,"Asylum Soybeans 2/3",,,,
quest_AsylumF40,,,,,"The Harvester 40/50",,,,
quest_AsylumF40_desc,,,,,"Soybeans from the Asylum's experimental gardens. Rich in protein and dark secrets.",,,,
quest_AsylumF40_subtitle,,,,,"Asylum Soybeans 3/3",,,,
quest_AsylumF41,,,,,"The Harvester 41/50",,,,
quest_AsylumF41_desc,,,,,"Harvest corn from the asylum's experimental fields. These golden stalks grew tall on soil enriched by questionable fertilizers.",,,,
quest_AsylumF41_subtitle,,,,,"Asylum Corn 1/3",,,,
quest_AsylumF42,,,,,"The Harvester 42/50",,,,
quest_AsylumF42_desc,,,,,"Plant corn seeds in the asylum's therapy garden. The patients once tended these very crops during agricultural rehabilitation.",,,,
quest_AsylumF42_subtitle,,,,,"Asylum Corn 2/3",,,,
quest_AsylumF43,,,,,"The Harvester 43/50",,,,
quest_AsylumF43_desc,,,,,"Gather potatoes from the asylum's root cellars. These tubers sustained the facility through long winters of isolation.",,,,
quest_AsylumF43_subtitle,,,,,"Asylum Potatoes 1/3",,,,
quest_AsylumF44,,,,,"The Harvester 44/50",,,,
quest_AsylumF44_desc,,,,,"Plant potato seeds in the asylum's underground gardens. They grow in darkness, nourished by the earth's secrets.",,,,
quest_AsylumF44_subtitle,,,,,"Asylum Potatoes 2/3",,,,
quest_AsylumF45,,,,,"The Harvester 45/50",,,,
quest_AsylumF45_desc,,,,,"Place potato plants throughout the asylum's subterranean farms. What grows in darkness often carries darkness within.",,,,
quest_AsylumF45_subtitle,,,,,"Asylum Potatoes 3/3",,,,
quest_AsylumF46,,,,,"The Harvester 46/50",,,,
quest_AsylumF46_desc,,,,,"Sharp, pungent onions grown in the Asylum's gardens. They'll make you cry, but not just from their fumes.",,,,
quest_AsylumF46_subtitle,,,,,"Asylum Onions",,,,
quest_AsylumF47,,,,,"The Harvester 47/50",,,,
quest_AsylumF47_desc,,,,,"Dense, leafy cabbage from the Asylum's fields. Each layer conceals more mysteries than the last.",,,,
quest_AsylumF47_subtitle,,,,,"Asylum Cabbage",,,,
quest_AsylumF48,,,,,"The Harvester 48/50",,,,
quest_AsylumF48_desc,,,,,"Sweet paprika peppers cultivated in the Asylum's greenhouse. Their vibrant color masks a darker purpose.",,,,
quest_AsylumF48_subtitle,,,,,"Asylum Paprika",,,,
quest_AsylumF49,,,,,"The Harvester 49/50",,,,
quest_AsylumF49_desc,,,,,"Fiery red chili peppers from the Asylum's experimental plots. Handle with care - they burn with unnatural heat.",,,,
quest_AsylumF49_subtitle,,,,,"Asylum Red Chili",,,,
quest_AsylumF50,,,,,"The Harvester 50/50",,,,
quest_AsylumF50_desc,,,,,"You have mastered the Asylum's agricultural secrets. Gather one of each SVETG crop to prove your expertise and complete your journey as Master Asylum Farmer.",,,,
quest_AsylumF50_subtitle,,,,,"Master Asylum Farmer",,,,
quest_AsylumC,,,,,"The Butcher",,,,
quest_AsylumC1,,,,,"The Butcher 1/50",,,,
quest_AsylumC1_desc,,,,,"Begin your kitchen therapy training with basic campfire cooking. Boil water and char meat - the foundation of asylum cuisine.",,,,
quest_AsylumC1_subtitle,,,,,"Kitchen Therapy Basics",,,,
quest_AsylumC2,,,,,"The Butcher 2/50",,,,
quest_AsylumC2_desc,,,,,"Gather empty jars from the asylum's abandoned cafeteria. These vessels once held meals for hundreds of patients.",,,,
quest_AsylumC2_subtitle,,,,,"Asylum Containers",,,,
quest_AsylumC3,,,,,"The Butcher 3/50",,,,
quest_AsylumC3_desc,,,,,"Produce olive oil in the asylum's kitchen. This golden liquid was a staple of the facility's Mediterranean-inspired menu.",,,,
quest_AsylumC3_subtitle,,,,,"Asylum Olive Oil",,,,
quest_AsylumC4,,,,,"The Butcher 4/50",,,,
quest_AsylumC4_desc,,,,,"Gather eggs from the asylum's chicken coops. The hens still lay despite the chaos surrounding them.",,,,
quest_AsylumC4_subtitle,,,,,"Fresh Asylum Eggs",,,,
quest_AsylumC5,,,,,"The Butcher 5/50",,,,
quest_AsylumC5_desc,,,,,"Boil eggs in the asylum's kitchen. Simple protein to sustain you through the madness.",,,,
quest_AsylumC5_subtitle,,,,,"Asylum Egg Preparation",,,,
quest_AsylumC6,,,,,"The Butcher 6/50",,,,
quest_AsylumC6_desc,,,,,"Harvest yucca fruit from the asylum's desert gardens. These hardy plants survived when everything else failed.",,,,
quest_AsylumC6_subtitle,,,,,"Desert Harvest",,,,
quest_AsylumC7,,,,,"The Butcher 7/50",,,,
quest_AsylumC7_desc,,,,,"Prepare fresh orange juice in the asylum's kitchen. The citrus groves still bear fruit despite years of neglect.",,,,
quest_AsylumC7_subtitle,,,,,"Asylum Citrus Juice",,,,
quest_AsylumC8,,,,,"The Butcher 8/50",,,,
quest_AsylumC8_desc,,,,,"Hunt the corrupted for fresh meat. The asylum's butcher shop needs raw materials for its twisted culinary experiments.",,,,
quest_AsylumC8_subtitle,,,,,"Asylum Meat Harvest",,,,
quest_AsylumC9,,,,,"The Butcher 9/50",,,,
quest_AsylumC9_desc,,,,,"Transform canned beef into hearty meat stew in the asylum's kitchen. Even preserved meat can become something nourishing.",,,,
quest_AsylumC9_subtitle,,,,,"Asylum Cooking 1/12",,,,
quest_AsylumC10,,,,,"The Butcher 10/50",,,,
quest_AsylumC10_desc,,,,,"Gather canned lamb from the asylum's storage rooms. The labels are faded but the contents remain edible.",,,,
quest_AsylumC10_subtitle,,,,,"Asylum Canned Rations 2/14",,,,
quest_AsylumC11,,,,,"The Butcher 11/50",,,,
quest_AsylumC11_desc,,,,,"Prepare meat stew from asylum provisions. The recipe was perfected by the facility's head chef before the outbreak.",,,,
quest_AsylumC11_subtitle,,,,,"Asylum Cooking 2/12",,,,
quest_AsylumC12,,,,,"The Butcher 12/50",,,,
quest_AsylumC12_desc,,,,,"Collect canned chicken from the asylum's pantry. These tins bear the facility's official seal.",,,,
quest_AsylumC12_subtitle,,,,,"Asylum Canned Rations 3/14",,,,
quest_AsylumC13,,,,,"The Butcher 13/50",,,,
quest_AsylumC13_desc,,,,,"Cook meat stew in the asylum's industrial kitchen. The aroma reminds you of better times.",,,,
quest_AsylumC13_subtitle,,,,,"Asylum Cooking 3/12",,,,
quest_AsylumC14,,,,,"The Butcher 14/50",,,,
quest_AsylumC14_desc,,,,,"Brew tea and coffee in the asylum's break room. The staff relied on these to endure endless shifts.",,,,
quest_AsylumC14_subtitle,,,,,"Asylum Beverages",,,,
quest_AsylumC15,,,,,"The Butcher 15/50",,,,
quest_AsylumC15_desc,,,,,"Find canned pork in the asylum's deep storage. These provisions were meant to last through any crisis.",,,,
