Key,File,Type,UsedInMainMenu,NoTranslate,english
asylumRecycleKitBulk9mmAPDesc,items,Item,,,"Open to recover bullet tips, gunpowder, and casings from 100 rounds of 9mm AP."
asylumRecycleKitBulk762HP,items,Item,,,[FFD700]Bulk 7.62 HP Recycling Kit[-]
asylumRecycleKitBulk762HPDesc,items,Item,,,"Open to recover bullet tips, gunpowder, and casings from 100 rounds of 7.62 HP."
asylumRecycleKitBulk762AP,items,Item,,,[FFD700]Bulk 7.62 AP Recycling Kit[-]
asylumRecycleKitBulk762APDesc,items,Item,,,"Open to recover bullet tips, gunpowder, and casings from 100 rounds of 7.62 AP."
asylumRecycleKitBulk44HP,items,Item,,,[FFD700]Bulk .44 HP Recycling Kit[-]
asylumRecycleKitBulk44HPDesc,items,Item,,,"Open to recover bullet tips, gunpowder, and casings from 100 rounds of .44 HP."
asylumRecycleKitBulk44AP,items,Item,,,[FFD700]Bulk .44 AP Recycling Kit[-]
asylumRecycleKitBulk44APDesc,items,Item,,,"Open to recover bullet tips, gunpowder, and casings from 100 rounds of .44 AP."
asylumRecycleKitBulkShotgunSlug,items,Item,,,[FFD700]Bulk Shotgun Slug Recycling Kit[-]
asylumRecycleKitBulkShotgunSlugDesc,items,Item,,,"Open to recover bullet tips, gunpowder, and polymers from 100 Shotgun Slugs."
asylumRecycleKitBulkShotgunBreachingSlug,items,Item,,,[FFD700]Bulk Shotgun Breaching Slug Recycling Kit[-]
asylumRecycleKitBulkShotgunBreachingSlugDesc,items,Item,,,"Open to recover forged steel, clay, gunpowder, and polymers from 100 Breaching Slugs."
asylumRecycleKit9mmUranium,items,Item,,,[73ccff]9mm Uranium Recycling Kit[-]
asylumRecycleKit9mmUraniumDesc,items,Item,,,"Open to recover depleted uranium cores, bullet tips, gunpowder, and casings from 9mm Uranium."
asylumRecycleKit44Uranium,items,Item,,,[73ccff].44 Uranium Recycling Kit[-]
asylumRecycleKit44UraniumDesc,items,Item,,,"Open to recover depleted uranium cores, bullet tips, gunpowder, and casings from .44 Uranium."
asylumRecycleKit762Uranium,items,Item,,,[73ccff]7.62 Uranium Recycling Kit[-]
asylumRecycleKit762UraniumDesc,items,Item,,,"Open to recover depleted uranium cores, bullet tips, gunpowder, and casings from 7.62 Uranium."
asylumRecycleKitShotgunUranium,items,Item,,,[73ccff]Shotgun Uranium Recycling Kit[-]
asylumRecycleKitShotgunUraniumDesc,items,Item,,,"Open to recover depleted uranium cores, buckshot, gunpowder, and paper from Uranium Shotgun Shells."
asylumRecycleKit9mmIncendiary,items,Item,,,[73ccff]9mm Incendiary Recycling Kit[-]
asylumRecycleKit9mmIncendiaryDesc,items,Item,,,"Open to recover napalm gel, bullet tips, gunpowder, and casings from 9mm Incendiary."
asylumRecycleKit44Incendiary,items,Item,,,[73ccff].44 Incendiary Recycling Kit[-]
asylumRecycleKit44IncendiaryDesc,items,Item,,,"Open to recover napalm gel, bullet tips, gunpowder, and casings from .44 Incendiary."
asylumRecycleKit762Incendiary,items,Item,,,[73ccff]7.62 Incendiary Recycling Kit[-]
asylumRecycleKit762IncendiaryDesc,items,Item,,,"Open to recover napalm gel, bullet tips, gunpowder, and casings from 7.62 Incendiary."
asylumRecycleKitShotgunIncendiary,items,Item,,,[73ccff]Shotgun Incendiary Recycling Kit[-]
asylumRecycleKitShotgunIncendiaryDesc,items,Item,,,"Open to recover napalm gel, buckshot, gunpowder, and paper from Incendiary Shotgun Shells."
asylumRecycleKitBulk9mmUranium,items,Item,,,[FFD700]Bulk 9mm Uranium Recycling Kit[-]
asylumRecycleKitBulk9mmUraniumDesc,items,Item,,,"Open to recover depleted uranium cores, bullet tips, gunpowder, and casings from 100 rounds of 9mm Uranium."
asylumRecycleKitBulk44Uranium,items,Item,,,[FFD700]Bulk .44 Uranium Recycling Kit[-]
asylumRecycleKitBulk44UraniumDesc,items,Item,,,"Open to recover depleted uranium cores, bullet tips, gunpowder, and casings from 100 rounds of .44 Uranium."
asylumRecycleKitBulk762Uranium,items,Item,,,[FFD700]Bulk 7.62 Uranium Recycling Kit[-]
asylumRecycleKitBulk762UraniumDesc,items,Item,,,"Open to recover depleted uranium cores, bullet tips, gunpowder, and casings from 100 rounds of 7.62 Uranium."
asylumRecycleKitBulkShotgunUranium,items,Item,,,[FFD700]Bulk Shotgun Uranium Recycling Kit[-]
asylumRecycleKitBulkShotgunUraniumDesc,items,Item,,,"Open to recover depleted uranium cores, buckshot, gunpowder, and paper from 100 Uranium Shotgun Shells."
asylumRecycleKitBulk9mmIncendiary,items,Item,,,[FFD700]Bulk 9mm Incendiary Recycling Kit[-]
asylumRecycleKitBulk9mmIncendiaryDesc,items,Item,,,"Open to recover napalm gel, bullet tips, gunpowder, and casings from 100 rounds of 9mm Incendiary."
asylumRecycleKitBulk44Incendiary,items,Item,,,[FFD700]Bulk .44 Incendiary Recycling Kit[-]
asylumRecycleKitBulk44IncendiaryDesc,items,Item,,,"Open to recover napalm gel, bullet tips, gunpowder, and casings from 100 rounds of .44 Incendiary."
asylumRecycleKitBulk762Incendiary,items,Item,,,[FFD700]Bulk 7.62 Incendiary Recycling Kit[-]
asylumRecycleKitBulk762IncendiaryDesc,items,Item,,,"Open to recover napalm gel, bullet tips, gunpowder, and casings from 100 rounds of 7.62 Incendiary."
asylumRecycleKitBulkShotgunIncendiary,items,Item,,,[FFD700]Bulk Shotgun Incendiary Recycling Kit[-]
asylumRecycleKitBulkShotgunIncendiaryDesc,items,Item,,,"Open to recover napalm gel, buckshot, gunpowder, and paper from 100 Incendiary Shotgun Shells."


