Key,File,Type,english
SVETGOnionPlantPlayer,,,Onion Plant
SVETGOniongrowing,,,Young Onions
SVETGPaprikaEmpty,,,Bell Pepper Plant (Harvested)
SVETGPaprikaPlant,,,Bell Pepper Plant
SVETGPaprikaPlantPlayer,,,Bell Pepper Plant
SVETGPaprikagrowing,,,Young Bell Peppers
SVETGRedChilliesEmpty,,,Red Chilli Plant (Harvested)
SVETGRedChilliesPlant,,,Red Chilli Plant
SVETGRedChilliesPlantPlayer,,,Red Chilli Plant
SVETGRedChilliesgrowing,,,Young Red Chillies
SVETGSoyBeanEmpty,,,Soybean Plant (Harvested)
SVETGSoyBeanPlant,,,Soybean Plant
SVETGSoyBeanPlantPlayer,,,Soybean Plant
SVETGSoyBeangrowing,,,Young Soybeans
SVETGStove,,,[8B0000]Asylum Kitchen Stove[-]
SVETGStoveDesc,,,[8B0000]Professional cooking stove[-] from the [8B0000]Asylum's kitchen[-]. The [FFAA00]gas burners[-] provide [AA0000]precise heat control[-] for [00FF00]gourmet cooking[-].\n\n[AAAAAA]Crafted in: Workbench[-]
SVETGTomatoEmpty,,,Tomato Plant (Harvested)
SVETGTomatoPlant,,,Tomato Plant
SVETGTomatoPlantPlayer,,,Tomato Plant
SVETGTomatogrowing,,,Young Tomatoes
SVETGTraps,,,[8B0000]Asylum Animal Traps[-]
SVETGTreeAppleEnd,,,Apple Tree
SVETGTreeAppleEndDesc,,,Apple Tree
SVETGTreeAppleYoung,,,Young Apple Tree
SVETGTreeLimeEnd,,,Lime Tree
SVETGTreeLimeEndDesc,,,Lime Tree
SVETGTreeLimeEndEmpty,,,Harvested Lime Tree
SVETGTreeLimeOliveEmpty,,,Harvested Olive Tree
SVETGTreeLimeOrangeEmpty,,,Harvested Orange Tree
SVETGTreeLimeYoung,,,Young Lime Tree
SVETGTreeOliveEnd,,,Olive Tree
SVETGTreeOliveEndDesc,,,Olive Tree
SVETGTreeOliveYoung,,,Young Olive Tree
SVETGTreeOrangeEnd,,,Orange Tree
SVETGTreeOrangeEndDesc,,,Orange Tree
SVETGTreeOrangeYoung,,,Young Orange Tree
SVETGfoodT1-1,,,[DEB887]Asylum Basics: Dough & Bread[-]
SVETGfoodT1-2,,,[DEB887]Asylum Basics: Raw Pasta & Corn Bread[-]
SVETGfoodT1-3,,,[DEB887]Asylum Basics: Tomato Sauce & PB&J[-]
SVETGfoodT1-4,,,[DEB887]Asylum Basics: Tortilla & Boiled Meat[-]
SVETGfoodT1-5,,,[DEB887]Asylum Basics: Sausage & Bacon Eggs[-]
SVETGfoodT2-1,,,Croissant & Pumpkin Bread
SVETGfoodT2-2,,,Sashimi & Smite's Hell Salsa
SVETGfoodT2-3,,,Sushi & Nachos and Salsa
SVETGfoodT2-4,,,Egg Fried Rice & Ice Tea
SVETGfoodT2-5,,,Tomato Soup & Steak and Potatoes
SVETGfoodT3-1,,,Potato Soup & Yucca Juice Smoothie
SVETGfoodT3-2,,,Stir Fry & Pancakes and Syrup
SVETGfoodT3-3,,,Fish and Chips & Whiskey's Special Whiskey
SVETGfoodT3-4,,,Full English Breakfast & Sak's Special Brew
SVETGfoodT3-5,,,Lasagna & Sage's Singularity Cocktail
SVETGfoodT4-1,,,"Schnitzel, Marko's Bane, Filbert's Delight & Wolf on the Ice"
SVETGfoodT4-2,,,"Pizza, XCaliber's Quest, Dadrick's Island Breeze & Jen's Cold Brew"
SVETGfoodT4-3,,,"Shawarma, Bucco Sour & Coffee De Klutz"
SVETGfoodT4-4,,,"Burger and Fries, Garaman on the Beach & Jivaii's Rocket Fuel"
SVETGfoodT4-5,,,"Ramen, Lyken's Redemption & Script's Moist Elixir"
SVETGseedsT2-1,,,Tomato Seeds & Blueberry Seeds
SVETGseedsT2-2,,,Onion Seeds & Soybean Seeds
SVETGseedsT2-3,,,Cabbage Seeds & Mushrooms
SVETGseedsT2-4,,,Bell Pepper Seeds & Corn Seeds
SVETGseedsT2-5,,,Red Chilli Seeds & Potato Seeds
SVETGworkstationsT1-2,,,[C0C0C0]Asylum Tools: Cutting Board[-]
SVETGworkstationsT1-3,,,[C0C0C0]Asylum Tools: Forge & Compost Bin[-]
SVETGworkstationsT2-1,,,[C0C0C0]Asylum Tools: Workbench & Mortar[-]
SVETGworkstationsT2-2,,,[C0C0C0]Asylum Tools: Stove & Butcher Table[-]
SVETGworkstationsT2-3,,,[C0C0C0]Asylum Tools: Bar Counter & Bellows[-]
SVETGworkstationsT2-4,,,"[C0C0C0]Asylum Tools: Moka, Coop & Beehive[-]"
SVETGworkstationsT3-1,,,[C0C0C0]Asylum Tools: Barrel & Shaker[-]
StartFoodBundle,,,Food Crate Bundle
StartFoodBundleDesc,,,"A crate full of food and drinks, This Should hold Me over for a while."
StartGardenPatient,,,[00AA00]The Harvester
StartGardenPatientDesc,,,"[00AA00]The Harvester[FFFFFF]\n\nOnce a respected doctor, you used garden therapy to hide your failed experiments beneath the soil. When the outbreak began, your twisted knowledge of cultivation became a survival advantage.\n\n[00FF00]Equipment:[FFFFFF]\n• Baseball bat & Shovel\n• Farm bundle (seeds & supplies)\n• Extra food rations (2x)\n• Broken junk turret\n• Lock picks\n• Bicycle"
StartGroundskeeperPatient,,,[FFD700]The Gravedigger
StartGroundskeeperPatientDesc,,,"[FFD700]The Gravedigger[FFFFFF]\n\nAs the asylum's caretaker, you knew where all the bodies were buried... because you put them there. Your knowledge of the underground tunnels and hidden graves might be the key to survival.\n\n[00FF00]Equipment:[FFFFFF]\n• Iron sledgehammer & Pickaxe\n• Broken junk turret\n• Food and medical supplies\n• Sledgehammer & mining books\n• Bicycle"
StartJunkTurretBroken,,,Broken Old Turret
StartJunkTurretBrokenDesc,,,Old worn out junk turret from a scap pile. \n Must be some way to get this thing to shoot something out of it.\n Maybe some duct tape or some scrap metal...
StartMedicalBundle,,,Bag of medical Suplies
StartMedicalBundleDesc,,,"Got this from a wrecked ambulance, Could save someone's life."
StartWardNurse,,,[FF6666]Asylum Medic
StartWardNurseDesc,,,"[FF6666]Asylum Medic[FFFFFF]\n\nOnce a dedicated medical professional, the horrors you witnessed in the asylum drove you to madness. Your medical knowledge remains intact, but your methods have become... unorthodox.\n\n[00FF00]Equipment:[FFFFFF]\n• Stun baton & Scrap axe\n• Extra medical supplies (2x)\n• Broken junk turret\n• Food & lock picks\n• Honey treasure book\n• Bicycle"
StartWorkshopPatient,,,[8B4513]The Tinkerer
StartWorkshopPatientDesc,,,"[8B4513]The Tinkerer[FFFFFF]\n\nAn escaped patient with a genius for mechanics and a taste for murder. You can fix anything... and break anyone. Your workshop became a torture chamber before the outbreak set you free.\n\n[00FF00]Equipment:[FFFFFF]\n• Baseball bat & Wrench\n• Broken junk turret\n• Food & medical supplies\n• Lock picks\n• Acid treasure book\n• Bicycle"
StartKitchenPatient,,,[FF6B35]The Butcher
StartKitchenPatientDesc,,,"[FF6B35]The Butcher[FFFFFF]\n\nThe asylum's head chef who developed a taste for more exotic ingredients. When food ran low, you discovered that human flesh was surprisingly... nutritious. Your culinary skills now serve a darker purpose.\n\n[00FF00]Equipment:[FFFFFF]\n• Machete & Cooking pot\n• Broken junk turret\n• Food & medical supplies\n• Lock picks\n• Food looter book\n• Bicycle"
StartSecurityPatient,,,[8FBC8F]The Hunter
StartSecurityPatientDesc,,,"[8FBC8F]The Hunter[FFFFFF]\n\nOnce the asylum's head of security, you enjoyed your power over the patients a little too much. Your methods were brutal, your punishments creative. Now the whole world is your hunting ground.\n\n[00FF00]Equipment:[FFFFFF]\n• Iron crossbow & Bolts (200)\n• Hunting knife\n• Broken junk turret\n• Food & medical supplies\n• Lock picks\n• Vulture hunting book\n• Bicycle"
StartOrderlyPatient,,,[556B2F]The Enforcer
StartOrderlyPatientDesc,,,"[556B2F]The Enforcer[FFFFFF]\n\nA former military orderly who used excessive force to 'maintain order.' Your combat training and brutal methods made even the doctors fear you. The outbreak just gave you a bigger battlefield.\n\n[00FF00]Equipment:[FFFFFF]\n• Hunting rifle & 7.62mm (200)\n• Hunting knife\n• Broken junk turret\n• Food & medical supplies\n• Lock picks\n• Urban combat book\n• Bicycle"
advancedForge,,,Asylum Advanced Forge
advancedForgeDesc,,,"An enhanced forge forged in the depths of the Asylum's [8B0000]infernal foundries[FFFFFF]. This [666666]unholy furnace[FFFFFF] burns with the [990000]fires of the damned[FFFFFF], capable of smelting materials that would destroy lesser forges.\n\n[FF6B6B]• TITANIUM SMELTING:[-] Process asylum's custom forged titanium\n[FF6B6B]• ENHANCED CAPACITY:[-] Larger input and output slots\n[FF6B6B]• SUPERIOR HEAT:[-] Burns hotter and longer than standard forges\n[FF6B6B]• ASYLUM CONSTRUCTION:[-] Built with the asylum's forbidden metallurgy\n\n[8B0000]WARNING:[-] [FFFF00]Prolonged exposure to asylum forge flames may cause temporal burns and reality distortion.[-]\n\nRepair with Forged Steel, Mechanical Parts, and Bellows."
forgeDesc,,,"An enhanced forge forged in the depths of the Asylum's [8B0000]infernal foundries[FFFFFF]. This [666666]unholy furnace[FFFFFF] burns with the [990000]fires of the damned[FFFFFF], capable of smelting materials that would destroy lesser forges.\n\n[FF6B6B]• TITANIUM SMELTING:[-] Process asylum's custom forged titanium\n[FF6B6B]• ENHANCED CAPACITY:[-] Larger input and output slots\n[FF6B6B]• SUPERIOR HEAT:[-] Burns hotter and longer than standard forges\n[FF6B6B]• ASYLUM CONSTRUCTION:[-] Built with the asylum's forbidden metallurgy\n\n[8B0000]WARNING:[-] [FFFF00]Prolonged exposure to asylum forge flames may cause temporal burns and reality distortion.[-]\n\nRepair with Forged Steel, Mechanical Parts, and Bellows."
ammoBoneShards,,,Bone Shards
ammoBoneShardsDesc,,,Sharpened bone fragments. Primitive ammunition that gets the job done.
ammoGasCan,,,Gas Can
ammoGasCanBundle,,,Stack of Gas Cans (5000)
ammoGasCanBundleDesc,,,This is a compact stack of gas cans. Use this item to open and unpack it.
ammoGasCanDesc,,,"[FF4500]Liquid fuel[FFFFFF] salvaged from the [8B0000]asylum's motor pool[FFFFFF]. This [D2691E]precious gasoline[FFFFFF] once powered the facility's [990000]emergency generators[FFFFFF] and [CD853F]escape vehicles[FFFFFF]. Each drop carries the [8B0000]desperate hope[FFFFFF] of those who tried to [B8860B]flee the madness[FFFFFF], now serving to fuel your [990000]survival tools[FFFFFF] in this [A0522D]endless nightmare[FFFFFF].\nCrafted in lots of 2."
ammoScrapShards,,,Scrap Shards
ammoScrapShardsDesc,,,Sharp metal fragments that can be fired from improvised weapons. Crude but effective.
buffElementWetDesc,,,You are Moist!
buffElementWetName,,,Moistness
buffSVETGCoffeeDeKlutzDesc,,,Run Speed Increased by 80%.
buffSVETGCoffeeDeKlutzName,,,Fast as Frick Boy!
buffSVETGCoitusOnTheBeachDesc,,,30% Increase in Bartering. (Buying & Selling)
buffSVETGCoitusOnTheBeachName,,,Charismatic Rizz
buffSVETGDadricksIslandBreezeDesc,,,80% faster walking Speed and 60% increased Jump Strength.
buffSVETGDadricksIslandBreezeName,,,Leg Day
buffSVETGFilbertsDelightDesc,,,Increased Carry Capacity and 20% Run Speed.
buffSVETGFilbertsDelightName,,,Nutty Strong
buffSVETGJTKePartyPunchDesc,,,100% increased Melee Damage.
buffSVETGJTKePartyPunchName,,,Look at those Muscles!
buffSVETGJensColdBrewDesc,,,Cures Fatigue & adds 500% Disease Resistance.
buffSVETGJensColdBrewName,,,Need. My. Coffee.
buffSVETGJivaiiRocketFuelDesc,,,250% increased Jump Strength.
buffSVETGJivaiiRocketFuelName,,,Rocket Man
buffSVETGMallfakasFavouriteDesc,,,Increases Gun Damage by 70%.
buffSVETGMallfakasFavouriteName,,,Running & Gunning!
buffSVETGMarkosBaneDesc,,,80% increased Ranged Damage and 10% Experience Gain.
buffSVETGMarkosBaneName,,,Smart Gun Nut
buffSVETGMojitoDesc,,,60% Increase in Experience gained.
buffSVETGMojitoName,,,XP Fiesta Time
buffSVETGNachosAndSalsaDesc,,,Increases Melee Damage by 500% & Resistance by 300%.
buffSVETGNachosAndSalsaName,,,Hot as Hell!
buffSVETGPancakesAndSyrupDesc,,,75% Increased Sneak Attack Damage & -30% Noise.
buffSVETGPancakesAndSyrupName,,,Lone Wolf.
buffSVETGPinaColadaDesc,,,Higher Loot Stage. (10 & 20%)
buffSVETGPinaColadaName,,,Lucky Drunk
buffSVETGRumDesc,,,Increased Brawling Damage
buffSVETGRumName,,,Brawling Pirate
buffSVETGSVETGWolfOnTheIceDesc,,,100% Increased Sneak Attack Damage.
buffSVETGSVETGWolfOnTheIceName,,,Sneaky Peaky
buffSVETGSagesSingularityDesc,,,Reduces Crafting Time by 75% & Increases walking Speed by 25%.
buffSVETGSagesSingularityName,,,Creative Mind.
buffSVETGSaksSpecialBrewDesc,,,"100% Increased Disease & Stun Resistance, 25% Increased Damage Resistance, 200% Increased Critical Healing & 30 Max Health."
buffSVETGSaksSpecialBrewName,,,Invincible! Almost.
buffSVETGScriptsMoistElixirDesc,,,Increases Stamina by 50 & Resource gathering by 60%.
buffSVETGScriptsMoistElixirName,,,Moist and ready to roll.
buffSVETGSteensBaneDesc,,,Increases Jump Strength by 200%.
buffSVETGSteensBaneName,,,Free falling!
buffSVETGVodkaDesc,,,Increased Melee Damage
buffSVETGVodkaName,,,Drunk CQB
buffSVETGWhiskeysWhiskeyDesc,,,Increases Stamina by 30 & Resource gathering by 35%.
buffSVETGWhiskeysWhiskeyName,,,Mining like Dwarves!
buffSVETGWormGuyDesc,,,Higher Loot Stage. (30 & 30%)
buffSVETGWormGuyName,,,Lucky Zane
buffSVETGXCalibersQuestDesc,,,30 More Health and 60% Resistance to Injury.
buffSVETGXCalibersQuestName,,,Can do Attitude
classStarter,,,Class Token
classStarterDesc,,,Use this Token to craft a starter kit. [FF00FF]See Descriptions in craft menu for contents before choosing.
cntSVETGCocktailShelf,,,Liquor Shelf
cntSVETGCocktailShelfDesc,,,"A shelf to store your liquor, cocktails & glasses.\n\n\n\n\n\nCrafted in: Workbench"
cntSVETGDrinksFridge,,,Beverage Refrigerator
cntSVETGDrinksFridgeDesc,,,A fridge to store your drinks.\n\n\n\n\n\nCrafted in: Workbench
cntSVETGFridge,,,Refrigerator
cntSVETGFridgeDesc,,,A fridge to store your food.\n\n\n\n\n\nCrafted in: Workbench
craftingMachineToolsDesc,,,Reading [DECEA3]Machine Tools Manual[-] will unlock various machine tools that can enhance the performance of your workstations. Increase loot chances with [DECEA3]Advanced Engineering[-].
craftingMachineToolsName,,,Machine Tools
craftingWorkstationsDesc,,,Reading [DECEA3]Forge & Co.[-] will unlock various workstations. Increase loot chances with [DECEA3]Advanced Engineering[-]. [DECEA3]Lockpicking[-] improves crafting level to 15.
decoSVETGSakPicture,,,Tribute to Sak
decoSVETGSakPictureDesc,,,"A picture showcasing two of Sak's 'unusual' ways to die.\nI mean, learn to throw Molotov cocktails, bro.\n\n\n\n\n\n\nCrafted in: Workbench"
deco_bauxite_vein,,,Bauxite Ore Vein
deco_chromite_vein,,,Chromite Ore Vein
deco_cobalt_vein,,,Cobalt Ore Vein
deco_lithium_vein,,,Lithium Ore Vein
deco_quartz_vein,,,Quartz Vein
deco_titanium_vein,,,Titanium Ore Vein
deco_zinc_vein,,,Zinc Ore Vein
drinkJarEmpty,,,Empty Glass Jar
drinkJarEmptyDesc,,,An empty glass jar that can be used to collect water from various sources. Crafted at the forge using glass and clay.
drinkSVETGAppleJuice,,,[FF69B4]Asylum Apple Juice[-]
drinkSVETGAppleJuiceDesc,,,[FF69B4]Sweet apple juice[-] pressed in the [8B0000]Asylum's bar[-]. The [FFAA00]crisp flavor[-] carries [AA0000]whispers of the orchard[-] where [00FF00]patients once worked[-].\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGBlackTea,,,[8B4513]Asylum Black Tea[-]
drinkSVETGBlackTeaDesc,,,[8B4513]Strong black tea[-] brewed in the [8B0000]Asylum's kitchen[-]. The [FFAA00]robust flavor[-] provides [AA0000]comfort[-] during the [00FF00]darkest hours[-].\n\n[AAAAAA]Crafted in: Stove / Bar Counter[-]
drinkSVETGCanta,,,[FFA500]Asylum Orange Soda[-]
drinkSVETGCantaDesc,,,[FFA500]Carbonated orange drink[-] from the [8B0000]Asylum's commissary[-]. The [FFAA00]tangy bubbles[-] and [AA0000]citrus flavor[-] bring [00FF00]childhood memories[-].\n\n[AAAAAA]Found: Looting[-]
drinkSVETGCoffeeDeKlutz,,,[8B4513]Speedster's Brew[-]
drinkSVETGCoffeeDeKlutzDesc,,,[8B4513]High-octane coffee cocktail[-] brewed in the [8B0000]Asylum's bar[-]. The [FFAA00]intense caffeine[-] boosts [AA0000]superhuman speed[-] but [00FF00]use with caution[-].\n\n[32CD32]Increases run speed by 80% & stamina regen by 30%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGDadricksIslandBreeze,,,[87CEEB]Athlete's Paradise[-]
drinkSVETGDadricksIslandBreezeDesc,,,[87CEEB]Tropical performance drink[-] mixed in the [8B0000]Asylum's bar[-]. The [FFAA00]island flavors[-] enhance [AA0000]athletic prowess[-] and [00FF00]leg strength[-].\n\n[32CD32]Increases Walking Speed by 80% & Jump Strength by 60%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGFilbertsDelight,,,[DEB887]Orderly's Burden[-]
drinkSVETGFilbertsDelightDesc,,,[DEB887]Nutty cocktail[-] favored by [8B0000]Asylum staff[-]. The [FFAA00]rich blend[-] grants [AA0000]supernatural strength[-] to [00FF00]carry heavy loads[-].\n\n[32CD32]Increases carry capacity by 100 & run speed by 20%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGGaramanOnTheBeach,,,[FF69B4]Patient's Paradise[-]
drinkSVETGGaramanOnTheBeachDesc,,,[FF69B4]Tropical cocktail[-] mixed in the [8B0000]Asylum's bar[-]. The [FFAA00]fruity blend[-] helps [AA0000]patients dream[-] of [00FF00]distant shores[-].\n\n[32CD32]Increases EXP gain by 60%[-]\n\n[AAAAAA]Crafted in: Bar Counter[-]
drinkSVETGGin,,,[E0FFFF]Asylum Gin[-]
drinkSVETGGinDesc,,,[E0FFFF]Botanical gin[-] infused in the [8B0000]Asylum's distillery[-]. The [FFAA00]herbal complexity[-] carries [AA0000]secrets of the garden[-] where [00FF00]patients once walked[-].\n\n[AAAAAA]Crafted in: Fermenting Barrel[-]
drinkSVETGIceCubes,,,[E0FFFF]Asylum Ice Cubes[-]
drinkSVETGIceCubesDesc,,,[E0FFFF]Crystal clear ice[-] frozen in the [8B0000]Asylum's freezer[-]. The [FFAA00]perfect cubes[-] chill your [AA0000]burning memories[-] and [00FF00]cool your cocktails[-].\n\n[AAAAAA]Crafted in: Bar Counter[-]
