Key,File,Type,UsedInMainMenu,NoTranslate,english
asylumCatCharged,entities,Zombie,,,"[4477AA]Charged Asylum Feral Cat[-]"

# Cursed Cat - Purple MatColor (Dark Purple)
asylumCatCursed,entities,Zombie,,,"[774499]Cursed Asylum Feral Cat[-]"

# Alpha Cat - Red MatColor (Blood Red)
asylumCatAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Feral Cat[-]"

# Normal Crazydoc - No MatColor (Muted Orange)
asylumCrazydoc,entities,Zombie,,,"[CC7744]Asylum Crazy Doctor[-]"

# Feral Crazydoc - Dried Blood MatColor (Brownish Red)
asylumFeralCrazydoc,entities,Zombie,,,"[BB6633]Feral Asylum Crazy Doctor[-]"

# Radiated Crazydoc - Green MatColor (Sickly Green)
asylumCrazydocRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Crazy Doctor[-]"

# Infernal Crazydoc - Orange-red MatColor (Dark Red-Orange)
asylumCrazydocInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Crazy Doctor[-]"

# Charged Crazydoc - Blue MatColor (Steel Blue)
asylumCrazydocCharged,entities,Zombie,,,"[4477AA]Charged Asylum Crazy Doctor[-]"

# Cursed Crazydoc - Purple MatColor (Dark Purple)
asylumCrazydocCursed,entities,Zombie,,,"[774499]Cursed Asylum Crazy Doctor[-]"

# Alpha Crazydoc - Red MatColor (Blood Red)
asylumCrazydocAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Crazy Doctor[-]"

# Normal Crueldoll - No MatColor (Muted Orange)
asylumCrueldoll,entities,Zombie,,,"[CC7744]Asylum Cruel Doll[-]"

# Feral Crueldoll - Dried Blood MatColor (Brownish Red)
asylumFeralCrueldoll,entities,Zombie,,,"[BB6633]Feral Asylum Cruel Doll[-]"

# Radiated Crueldoll - Green MatColor (Sickly Green)
asylumCrueldollRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Cruel Doll[-]"

# Infernal Crueldoll - Orange-red MatColor (Dark Red-Orange)
asylumCrueldollInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Cruel Doll[-]"

# Charged Crueldoll - Blue MatColor (Steel Blue)
asylumCrueldollCharged,entities,Zombie,,,"[4477AA]Charged Asylum Cruel Doll[-]"

# Cursed Crueldoll - Purple MatColor (Dark Purple)
asylumCrueldollCursed,entities,Zombie,,,"[774499]Cursed Asylum Cruel Doll[-]"

# Alpha Crueldoll - Red MatColor (Blood Red)
asylumCrueldollAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Cruel Doll[-]"

# Normal Demon1 - No MatColor (Muted Orange)
asylumDemon1,entities,Zombie,,,"[CC7744]Asylum Demon[-]"

# Feral Demon1 - Dried Blood MatColor (Brownish Red)
asylumFeralDemon1,entities,Zombie,,,"[BB6633]Feral Asylum Demon[-]"

# Radiated Demon1 - Green MatColor (Sickly Green)
asylumDemon1Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon[-]"

# Infernal Demon1 - Orange-red MatColor (Dark Red-Orange)
asylumDemon1Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon[-]"

# Charged Demon1 - Blue MatColor (Steel Blue)
asylumDemon1Charged,entities,Zombie,,,"[4477AA]Charged Asylum Demon[-]"

# Cursed Demon1 - Purple MatColor (Dark Purple)
asylumDemon1Cursed,entities,Zombie,,,"[774499]Cursed Asylum Demon[-]"

# Alpha Demon1 - Red MatColor (Blood Red)
asylumDemon1Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon[-]"

# Normal Demon2 - No MatColor (Muted Orange)
asylumDemon2,entities,Zombie,,,"[CC7744]Asylum Demon Lord[-]"

# Feral Demon2 - Dried Blood MatColor (Brownish Red)
asylumFeralDemon2,entities,Zombie,,,"[BB6633]Feral Asylum Demon Lord[-]"

# Radiated Demon2 - Green MatColor (Sickly Green)
asylumDemon2Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon Lord[-]"

# Infernal Demon2 - Orange-red MatColor (Dark Red-Orange)
asylumDemon2Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon Lord[-]"

# Charged Demon2 - Blue MatColor (Steel Blue)
asylumDemon2Charged,entities,Zombie,,,"[4477AA]Charged Asylum Demon Lord[-]"

# Cursed Demon2 - Purple MatColor (Dark Purple)
asylumDemon2Cursed,entities,Zombie,,,"[774499]Cursed Asylum Demon Lord[-]"

# Alpha Demon2 - Red MatColor (Blood Red)
asylumDemon2Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon Lord[-]"

# Normal Demon3 - No MatColor (Muted Orange)
asylumDemon3,entities,Zombie,,,"[CC7744]Asylum Demon Knight[-]"

# Feral Demon3 - Dried Blood MatColor (Brownish Red)
asylumFeralDemon3,entities,Zombie,,,"[BB6633]Feral Asylum Demon Knight[-]"

# Radiated Demon3 - Green MatColor (Sickly Green)
asylumDemon3Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon Knight[-]"

# Infernal Demon3 - Orange-red MatColor (Dark Red-Orange)
asylumDemon3Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon Knight[-]"

# Charged Demon3 - Blue MatColor (Steel Blue)
asylumDemon3Charged,entities,Zombie,,,"[4477AA]Charged Asylum Demon Knight[-]"

# Cursed Demon3 - Purple MatColor (Dark Purple)
asylumDemon3Cursed,entities,Zombie,,,"[774499]Cursed Asylum Demon Knight[-]"

# Alpha Demon3 - Red MatColor (Blood Red)
asylumDemon3Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon Knight[-]"

# Normal Demon4 - No MatColor (Muted Orange)
asylumDemon4,entities,Zombie,,,"[CC7744]Asylum Demon Warlord[-]"

# Feral Demon4 - Dried Blood MatColor (Brownish Red)
asylumFeralDemon4,entities,Zombie,,,"[BB6633]Feral Asylum Demon Warlord[-]"

# Radiated Demon4 - Green MatColor (Sickly Green)
asylumDemon4Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon Warlord[-]"

# Infernal Demon4 - Orange-red MatColor (Dark Red-Orange)
asylumDemon4Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon Warlord[-]"

# Charged Demon4 - Blue MatColor (Steel Blue)
asylumDemon4Charged,entities,Zombie,,,"[4477AA]Charged Asylum Demon Warlord[-]"

# Cursed Demon4 - Purple MatColor (Dark Purple)
asylumDemon4Cursed,entities,Zombie,,,"[774499]Cursed Asylum Demon Warlord[-]"

# Alpha Demon4 - Red MatColor (Blood Red)
asylumDemon4Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon Warlord[-]"

# Normal Demon5 - No MatColor (Muted Orange)
asylumDemon5,entities,Zombie,,,"[CC7744]Asylum Demon Prince[-]"

# Feral Demon5 - Dried Blood MatColor (Brownish Red)
asylumFeralDemon5,entities,Zombie,,,"[BB6633]Feral Asylum Demon Prince[-]"

# Radiated Demon5 - Green MatColor (Sickly Green)
asylumDemon5Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon Prince[-]"

# Infernal Demon5 - Orange-red MatColor (Dark Red-Orange)
asylumDemon5Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon Prince[-]"

# Charged Demon5 - Blue MatColor (Steel Blue)
asylumDemon5Charged,entities,Zombie,,,"[4477AA]Charged Asylum Demon Prince[-]"

# Cursed Demon5 - Purple MatColor (Dark Purple)
asylumDemon5Cursed,entities,Zombie,,,"[774499]Cursed Asylum Demon Prince[-]"

# Alpha Demon5 - Red MatColor (Blood Red)
asylumDemon5Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon Prince[-]"

# Normal Demon6 - No MatColor (Muted Orange)
asylumDemon6,entities,Zombie,,,"[CC7744]Asylum Demon King[-]"

# Feral Demon6 - Dried Blood MatColor (Brownish Red)
asylumFeralDemon6,entities,Zombie,,,"[BB6633]Feral Asylum Demon King[-]"

# Radiated Demon6 - Green MatColor (Sickly Green)
asylumDemon6Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon King[-]"

# Infernal Demon6 - Orange-red MatColor (Dark Red-Orange)
asylumDemon6Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon King[-]"

# Charged Demon6 - Blue MatColor (Steel Blue)
asylumDemon6Charged,entities,Zombie,,,"[4477AA]Charged Asylum Demon King[-]"

# Cursed Demon6 - Purple MatColor (Dark Purple)
asylumDemon6Cursed,entities,Zombie,,,"[774499]Cursed Asylum Demon King[-]"

# Alpha Demon6 - Red MatColor (Blood Red)
asylumDemon6Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon King[-]"

# Normal Demon7 - No MatColor (Muted Orange)
asylumDemon7,entities,Zombie,,,"[CC7744]Asylum Demon Emperor[-]"

# Feral Demon7 - Dried Blood MatColor (Brownish Red)
asylumFeralDemon7,entities,Zombie,,,"[BB6633]Feral Asylum Demon Emperor[-]"

# Radiated Demon7 - Green MatColor (Sickly Green)
asylumDemon7Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon Emperor[-]"

# Infernal Demon7 - Orange-red MatColor (Dark Red-Orange)
asylumDemon7Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon Emperor[-]"

# Charged Demon7 - Blue MatColor (Steel Blue)
asylumDemon7Charged,entities,Zombie,,,"[4477AA]Charged Asylum Demon Emperor[-]"

# Cursed Demon7 - Purple MatColor (Dark Purple)
asylumDemon7Cursed,entities,Zombie,,,"[774499]Cursed Asylum Demon Emperor[-]"

# Alpha Demon7 - Red MatColor (Blood Red)
asylumDemon7Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon Emperor[-]"

# Normal Demon8 - No MatColor (Muted Orange)
asylumDemon8,entities,Zombie,,,"[CC7744]Asylum Demon Overlord[-]"

# Feral Demon8 - Dried Blood MatColor (Brownish Red)
asylumFeralDemon8,entities,Zombie,,,"[BB6633]Feral Asylum Demon Overlord[-]"

# Radiated Demon8 - Green MatColor (Sickly Green)
asylumDemon8Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon Overlord[-]"

# Infernal Demon8 - Orange-red MatColor (Dark Red-Orange)
asylumDemon8Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon Overlord[-]"

# Charged Demon8 - Blue MatColor (Steel Blue)
asylumDemon8Charged,entities,Zombie,,,"[4477AA]Charged Asylum Demon Overlord[-]"

# Cursed Demon8 - Purple MatColor (Dark Purple)
asylumDemon8Cursed,entities,Zombie,,,"[774499]Cursed Asylum Demon Overlord[-]"

# Alpha Demon8 - Red MatColor (Blood Red)
asylumDemon8Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon Overlord[-]"

# Normal Demon9 - No MatColor (Muted Orange)
asylumDemon9,entities,Zombie,,,"[CC7744]Asylum Demon God[-]"

# Feral Demon9 - Dried Blood MatColor (Brownish Red)
asylumFeralDemon9,entities,Zombie,,,"[BB6633]Feral Asylum Demon God[-]"

# Radiated Demon9 - Green MatColor (Sickly Green)
asylumDemon9Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon God[-]"

# Infernal Demon9 - Orange-red MatColor (Dark Red-Orange)
asylumDemon9Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon God[-]"

# Charged Demon9 - Blue MatColor (Steel Blue)
asylumDemon9Charged,entities,Zombie,,,"[4477AA]Charged Asylum Demon God[-]"

# Cursed Demon9 - Purple MatColor (Dark Purple)
asylumDemon9Cursed,entities,Zombie,,,"[774499]Cursed Asylum Demon God[-]"

# Alpha Demon9 - Red MatColor (Blood Red)
asylumDemon9Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon God[-]"

# Normal Demon10 - No MatColor (Muted Orange)
asylumDemon10,entities,Zombie,,,"[CC7744]Asylum Demon Supreme[-]"

# Feral Demon10 - Dried Blood MatColor (Brownish Red)
asylumFeralDemon10,entities,Zombie,,,"[BB6633]Feral Asylum Demon Supreme[-]"

# Radiated Demon10 - Green MatColor (Sickly Green)
asylumDemon10Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon Supreme[-]"

# Infernal Demon10 - Orange-red MatColor (Dark Red-Orange)
asylumDemon10Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon Supreme[-]"

# Charged Demon10 - Blue MatColor (Steel Blue)
asylumDemon10Charged,entities,Zombie,,,"[4477AA]Charged Asylum Demon Supreme[-]"

# Cursed Demon10 - Purple MatColor (Dark Purple)
asylumDemon10Cursed,entities,Zombie,,,"[774499]Cursed Asylum Demon Supreme[-]"

# Alpha Demon10 - Red MatColor (Blood Red)
asylumDemon10Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon Supreme[-]"

# Normal Demondoll - No MatColor (Muted Orange)
asylumDemondoll,entities,Zombie,,,"[CC7744]Asylum Demon Doll[-]"

# Feral Demondoll - Dried Blood MatColor (Brownish Red)
asylumFeralDemondoll,entities,Zombie,,,"[BB6633]Feral Asylum Demon Doll[-]"

# Radiated Demondoll - Green MatColor (Sickly Green)
asylumDemondollRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Demon Doll[-]"

# Infernal Demondoll - Orange-red MatColor (Dark Red-Orange)
asylumDemondollInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Demon Doll[-]"

# Charged Demondoll - Blue MatColor (Steel Blue)
asylumDemondollCharged,entities,Zombie,,,"[4477AA]Charged Asylum Demon Doll[-]"

# Cursed Demondoll - Purple MatColor (Dark Purple)
asylumDemondollCursed,entities,Zombie,,,"[774499]Cursed Asylum Demon Doll[-]"

# Alpha Demondoll - Red MatColor (Blood Red)
asylumDemondollAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Demon Doll[-]"

# Normal Elephant - No MatColor (Muted Orange)
asylumElephant,entities,Zombie,,,"[CC7744]Asylum Mutant Elephant[-]"

# Feral Elephant - Dried Blood MatColor (Brownish Red)
asylumFeralElephant,entities,Zombie,,,"[BB6633]Feral Asylum Mutant Elephant[-]"

# Radiated Elephant - Green MatColor (Sickly Green)
asylumElephantRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Mutant Elephant[-]"

# Infernal Elephant - Orange-red MatColor (Dark Red-Orange)
asylumElephantInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Mutant Elephant[-]"

# Charged Elephant - Blue MatColor (Steel Blue)
asylumElephantCharged,entities,Zombie,,,"[4477AA]Charged Asylum Mutant Elephant[-]"

# Cursed Elephant - Purple MatColor (Dark Purple)
asylumElephantCursed,entities,Zombie,,,"[774499]Cursed Asylum Mutant Elephant[-]"

# Alpha Elephant - Red MatColor (Blood Red)
asylumElephantAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Mutant Elephant[-]"

# Normal Evildoll - No MatColor (Muted Orange)
asylumEvildoll,entities,Zombie,,,"[CC7744]Asylum Evil Doll[-]"

# Feral Evildoll - Dried Blood MatColor (Brownish Red)
asylumFeralEvildoll,entities,Zombie,,,"[BB6633]Feral Asylum Evil Doll[-]"

# Radiated Evildoll - Green MatColor (Sickly Green)
asylumEvildollRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Evil Doll[-]"

# Infernal Evildoll - Orange-red MatColor (Dark Red-Orange)
asylumEvildollInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Evil Doll[-]"

# Charged Evildoll - Blue MatColor (Steel Blue)
asylumEvildollCharged,entities,Zombie,,,"[4477AA]Charged Asylum Evil Doll[-]"

# Cursed Evildoll - Purple MatColor (Dark Purple)
asylumEvildollCursed,entities,Zombie,,,"[774499]Cursed Asylum Evil Doll[-]"

# Alpha Evildoll - Red MatColor (Blood Red)
asylumEvildollAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Evil Doll[-]"

# Normal Freak1 - No MatColor (Muted Orange)
asylumFreak1,entities,Zombie,,,"[CC7744]Asylum Freak[-]"

# Feral Freak1 - Dried Blood MatColor (Brownish Red)
asylumFeralFreak1,entities,Zombie,,,"[BB6633]Feral Asylum Freak[-]"

# Radiated Freak1 - Green MatColor (Sickly Green)
asylumFreak1Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Freak[-]"

# Infernal Freak1 - Orange-red MatColor (Dark Red-Orange)
asylumFreak1Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Freak[-]"

# Charged Freak1 - Blue MatColor (Steel Blue)
asylumFreak1Charged,entities,Zombie,,,"[4477AA]Charged Asylum Freak[-]"

# Cursed Freak1 - Purple MatColor (Dark Purple)
asylumFreak1Cursed,entities,Zombie,,,"[774499]Cursed Asylum Freak[-]"

# Alpha Freak1 - Red MatColor (Blood Red)
asylumFreak1Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Freak[-]"

# Normal Freak2 - No MatColor (Muted Orange)
asylumFreak2,entities,Zombie,,,"[CC7744]Asylum Freak Mutant[-]"

# Feral Freak2 - Dried Blood MatColor (Brownish Red)
asylumFeralFreak2,entities,Zombie,,,"[BB6633]Feral Asylum Freak Mutant[-]"

# Radiated Freak2 - Green MatColor (Sickly Green)
asylumFreak2Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Freak Mutant[-]"

# Infernal Freak2 - Orange-red MatColor (Dark Red-Orange)
asylumFreak2Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Freak Mutant[-]"

# Charged Freak2 - Blue MatColor (Steel Blue)
asylumFreak2Charged,entities,Zombie,,,"[4477AA]Charged Asylum Freak Mutant[-]"

# Cursed Freak2 - Purple MatColor (Dark Purple)
asylumFreak2Cursed,entities,Zombie,,,"[774499]Cursed Asylum Freak Mutant[-]"

# Alpha Freak2 - Red MatColor (Blood Red)
asylumFreak2Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Freak Mutant[-]"

# Normal Freak3 - No MatColor (Muted Orange)
asylumFreak3,entities,Zombie,,,"[CC7744]Asylum Freak Abomination[-]"

# Feral Freak3 - Dried Blood MatColor (Brownish Red)
asylumFeralFreak3,entities,Zombie,,,"[BB6633]Feral Asylum Freak Abomination[-]"

# Radiated Freak3 - Green MatColor (Sickly Green)
asylumFreak3Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Freak Abomination[-]"

# Infernal Freak3 - Orange-red MatColor (Dark Red-Orange)
asylumFreak3Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Freak Abomination[-]"

# Charged Freak3 - Blue MatColor (Steel Blue)
asylumFreak3Charged,entities,Zombie,,,"[4477AA]Charged Asylum Freak Abomination[-]"

# Cursed Freak3 - Purple MatColor (Dark Purple)
asylumFreak3Cursed,entities,Zombie,,,"[774499]Cursed Asylum Freak Abomination[-]"

# Alpha Freak3 - Red MatColor (Blood Red)
asylumFreak3Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Freak Abomination[-]"

# Normal Freak4 - No MatColor (Muted Orange)
asylumFreak4,entities,Zombie,,,"[CC7744]Asylum Freak Nightmare[-]"

# Feral Freak4 - Dried Blood MatColor (Brownish Red)
asylumFeralFreak4,entities,Zombie,,,"[BB6633]Feral Asylum Freak Nightmare[-]"

# Radiated Freak4 - Green MatColor (Sickly Green)
asylumFreak4Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Freak Nightmare[-]"

# Infernal Freak4 - Orange-red MatColor (Dark Red-Orange)
asylumFreak4Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Freak Nightmare[-]"

# Charged Freak4 - Blue MatColor (Steel Blue)
asylumFreak4Charged,entities,Zombie,,,"[4477AA]Charged Asylum Freak Nightmare[-]"

# Cursed Freak4 - Purple MatColor (Dark Purple)
asylumFreak4Cursed,entities,Zombie,,,"[774499]Cursed Asylum Freak Nightmare[-]"

# Alpha Freak4 - Red MatColor (Blood Red)
asylumFreak4Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Freak Nightmare[-]"

# Normal Freak5 - No MatColor (Muted Orange)
asylumFreak5,entities,Zombie,,,"[CC7744]Asylum Freak Terror[-]"

# Feral Freak5 - Dried Blood MatColor (Brownish Red)
asylumFeralFreak5,entities,Zombie,,,"[BB6633]Feral Asylum Freak Terror[-]"

# Radiated Freak5 - Green MatColor (Sickly Green)
asylumFreak5Radiated,entities,Zombie,,,"[66AA44]Radiated Asylum Freak Terror[-]"

# Infernal Freak5 - Orange-red MatColor (Dark Red-Orange)
asylumFreak5Infernal,entities,Zombie,,,"[AA4422]Infernal Asylum Freak Terror[-]"

# Charged Freak5 - Blue MatColor (Steel Blue)
asylumFreak5Charged,entities,Zombie,,,"[4477AA]Charged Asylum Freak Terror[-]"

# Cursed Freak5 - Purple MatColor (Dark Purple)
asylumFreak5Cursed,entities,Zombie,,,"[774499]Cursed Asylum Freak Terror[-]"

# Alpha Freak5 - Red MatColor (Blood Red)
asylumFreak5Alpha,entities,Zombie,,,"[AA3333]Alpha Asylum Freak Terror[-]"

# Normal Freddy - No MatColor (Muted Orange)
asylumFreddy,entities,Zombie,,,"[CC7744]Asylum Freddy Krueger[-]"

# Feral Freddy - Yellow MatColor (Darker Orange)
asylumFeralFreddy,entities,Zombie,,,"[BB6633]Feral Asylum Freddy Krueger[-]"

# Radiated Freddy - Green MatColor (Sickly Green)
asylumFreddyRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Freddy Krueger[-]"

# Infernal Freddy - Orange-red MatColor (Dark Red-Orange)
asylumFreddyInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Freddy Krueger[-]"

# Charged Freddy - Blue MatColor (Steel Blue)
asylumFreddyCharged,entities,Zombie,,,"[4477AA]Charged Asylum Freddy Krueger[-]"

# Cursed Freddy - Purple MatColor (Dark Purple)
asylumFreddyCursed,entities,Zombie,,,"[774499]Cursed Asylum Freddy Krueger[-]"

# Alpha Freddy - Red MatColor (Blood Red)
asylumFreddyAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Freddy Krueger[-]"

# Normal Art The Clown - No MatColor (Muted Orange)
asylumArtTheClown,entities,Zombie,,,"[CC7744]Asylum Art The Clown[-]"

# Feral Art The Clown - Yellow MatColor (Darker Orange)
asylumFeralArtTheClown,entities,Zombie,,,"[BB6633]Feral Asylum Art The Clown[-]"

# Radiated Art The Clown - Green MatColor (Sickly Green)
asylumArtTheClownRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Art The Clown[-]"

# Infernal Art The Clown - Orange-red MatColor (Dark Red-Orange)
asylumArtTheClownInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Art The Clown[-]"

# Charged Art The Clown - Blue MatColor (Steel Blue)
asylumArtTheClownCharged,entities,Zombie,,,"[4477AA]Charged Asylum Art The Clown[-]"

# Cursed Art The Clown - Purple MatColor (Dark Purple)
asylumArtTheClownCursed,entities,Zombie,,,"[774499]Cursed Asylum Art The Clown[-]"

# Alpha Art The Clown - Red MatColor (Blood Red)
asylumArtTheClownAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Art The Clown[-]"

# ========================================
# NUN ENTITY SERIES
# ========================================

# Normal Nun - No MatColor (Muted Orange)
asylumNun,entities,Zombie,,,"[CC7744]Asylum Nun[-]"

# Feral Nun - Yellow MatColor (Darker Orange)
asylumFeralNun,entities,Zombie,,,"[BB6633]Feral Asylum Nun[-]"

# Radiated Nun - Green MatColor (Sickly Green)
asylumNunRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Nun[-]"

# Infernal Nun - Orange-red MatColor (Dark Red-Orange)
asylumNunInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Nun[-]"

# Charged Nun - Blue MatColor (Steel Blue)
asylumNunCharged,entities,Zombie,,,"[4477AA]Charged Asylum Nun[-]"

# Cursed Nun - Purple MatColor (Dark Purple)
